업종명,업소명,소재지(도로명),소재지(지번)
휴게음식점,더노크사회적협동조합교육연구소앤카페,"경상북도 구미시 봉곡서로 34, 1층 (봉곡동)",경상북도 구미시 봉곡동 196-2 1층 
휴게음식점,모카향,"경상북도 구미시 인동가산로 337-94, 1층 (구평동)",경상북도 구미시 구평동 950 1층 
휴게음식점,떡앤천,"경상북도 구미시 야은로 296, 금오G7스퀘어 1층 7호 (봉곡동)",경상북도 구미시 봉곡동 36 금오G7스퀘어 1층 7호
휴게음식점,후르츠바스켓바이두번째부엌,"경상북도 구미시 산동읍 신당1로1길 17-7, 4층 411호",경상북도 구미시 산동읍 신당리 1449 4층 411호
휴게음식점,공차구미상모점,"경상북도 구미시 상사서로 62, 1층 (상모동)",경상북도 구미시 상모동 54-3 1층 
휴게음식점,음파,"경상북도 구미시 신시로10길 88-31, 1층 (송정동)",경상북도 구미시 송정동 487-14 1층 
휴게음식점,허유산구미점,"경상북도 구미시 구미대로22길 11, 롯데마트구미점 2층 (신평동)",경상북도 구미시 신평동 465 롯데마트구미점 2층 
휴게음식점,앤틱한하루,"경상북도 구미시 구미중앙로23길 14, 1층 (원평동)",경상북도 구미시 원평동 964-831 1층 
휴게음식점,미미케이크,"경상북도 구미시 신비로3길 18-4, 1층 (신평동)",경상북도 구미시 신평동 70-219 1층 
휴게음식점,굿커피제과제빵,"경상북도 구미시 야은로 445-6, 1층 (도량동)",경상북도 구미시 도량동 524-1 1층 
휴게음식점,빽다방구미인동점,"경상북도 구미시 인동중앙로 8, 1층 (인의동)",경상북도 구미시 인의동 375-2 1층 
휴게음식점,카페와플,"경상북도 구미시 봉곡로24길 3, 영남네오빌시티 104동 1층 109호 (봉곡동)",경상북도 구미시 봉곡동 527 영남네오빌시티 1층 104동 109호
휴게음식점,월간화과점,"경상북도 구미시 신시로26길 17, 1층 (송정동)",경상북도 구미시 송정동 10-10 1층 
휴게음식점,카페연두콩,"경상북도 구미시 산호대로24길 9-31, 1층 101호 (옥계동, 어린왕자 하나)",경상북도 구미시 옥계동 950 어린왕자 하나 1층 101호
휴게음식점,좋은사람,"경상북도 구미시 형곡로 108, 1층 (형곡동)",경상북도 구미시 형곡동 152-7 1층 
휴게음식점,에이바우트커피구미원평점,"경상북도 구미시 금오산로6길 13-3, 1층 (원평동)",경상북도 구미시 원평동 302 1층 
휴게음식점,20도씨,"경상북도 구미시 봉곡북로9길 2, 1층 (봉곡동)",경상북도 구미시 봉곡동 151-9 1층 
휴게음식점,멜로온,"경상북도 구미시 신시로10길 98-51, 1층 (송정동)",경상북도 구미시 송정동 490-4 1층 
휴게음식점,카페아이언,"경상북도 구미시 선산읍 남문로4길 3, 1층",경상북도 구미시 선산읍 동부리 390-5 1층 
휴게음식점,감성커피구미옥계점,"경상북도 구미시 흥안로1길 4, 옥계시장형 종합상가 A동 1층 103호 (옥계동)",경상북도 구미시 옥계동 560-4 옥계시장형 종합상가 1층 A동 103호
휴게음식점,경성나들이카페브라비,"경상북도 구미시 구미중앙로 150-3, 2층 (원평동)",경상북도 구미시 원평동 517-15 2층 
휴게음식점,컴포즈커피구미상모점,"경상북도 구미시 상사서로 92, 1층 (상모동)",경상북도 구미시 상모동 42-7 1층 
휴게음식점,모든날,"경상북도 구미시 송정대로6길 67, 1층 (송정동)",경상북도 구미시 송정동 490-10 1층 
휴게음식점,92버터샵,"경상북도 구미시 산호대로33길 18, 1층 (옥계동)",경상북도 구미시 옥계동 743-1 1층 
휴게음식점,늘꿈쿠킹,"경상북도 구미시 송원서로 39, 1층 (송정동)",경상북도 구미시 송정동 7-2 1층 
휴게음식점,메가엠지씨커피구미봉곡점,"경상북도 구미시 봉곡남로20길 4, 1층 (봉곡동)",경상북도 구미시 봉곡동 384-4 1층 
휴게음식점,솜사탕찻집,"경상북도 구미시 금오시장로3길 19-1, 1층 (원평동)",경상북도 구미시 원평동 529-12 1층 
휴게음식점,오터스구미직영점,"경상북도 구미시 선산대로 11, 1,2층 (지산동)","경상북도 구미시 지산동 603-1 1,2층 "
휴게음식점,동네커피,"경상북도 구미시 산동읍 신당인덕2로2길 3-10, 1동 1층",경상북도 구미시 산동읍 신당리 1616 1층 1동 
휴게음식점,덕촌분식,"경상북도 구미시 인동31길 22-17, 1층 (인의동)",경상북도 구미시 인의동 992-10 1층 
휴게음식점,리프패럿구미점,"경상북도 구미시 산동읍 신당2로 29, 1동 2층 202호",경상북도 구미시 산동읍 신당리 1431 2층 1동 202호
휴게음식점,더오터스,"경상북도 구미시 선산대로 11, 제2동 1층 (지산동)",경상북도 구미시 지산동 603-1 1층 제2동 
휴게음식점,동네커피1988,"경상북도 구미시 흥안로 67, 대백타운 상가동 1층 9호 (옥계동)",경상북도 구미시 옥계동 540 대백타운 1층 상가동 9호
휴게음식점,빌리브라운구미송정점,"경상북도 구미시 백산로5길 13, 힐스테이트송정1단지 근린생활시설-1동 1층 102호 (송정동)",경상북도 구미시 송정동 529 힐스테이트송정1단지 1층 근린생활시설-1동 102호
휴게음식점,버티,"경상북도 구미시 상사서로12길 3, 1층 101호 (사곡동, 우원 사곡1차 아파트)",경상북도 구미시 사곡동 698-9 우원 사곡1차 아파트 1층 101호
휴게음식점,사주다방,"경상북도 구미시 금오산로 52-2, 1층 (원평동)",경상북도 구미시 원평동 964-195 1층 
휴게음식점,달달스토어,"경상북도 구미시 형곡동로6길 8, 1층 (형곡동)",경상북도 구미시 형곡동 334 1층 
휴게음식점,골목커피,"경상북도 구미시 산업로4길 48-1, 1층 (원평동)",경상북도 구미시 원평동 158-55 1층 
휴게음식점,더벤티금오파크점,"경상북도 구미시 새마을로 150-1, 상가1동 1층 110호 (사곡동)",경상북도 구미시 사곡동 0 1층 상가1동 110호
휴게음식점,플러스82구미점,"경상북도 구미시 인동남길 58-2, 1동 1층 (진평동)",경상북도 구미시 진평동 1042-3 1층 1동 
휴게음식점,리치가플라워카페,"경상북도 구미시 인동16길 7, 2동 1층 (진평동)",경상북도 구미시 진평동 9-9 1층 2동 
휴게음식점,나인슬롯휴게실,"경상북도 구미시 인동중앙로5길 6-7, 1층 (황상동)",경상북도 구미시 황상동 308-23 1층 
휴게음식점,스타벅스구미확장단지점,"경상북도 구미시 산동읍 신당1로4길 19, 1동 1층 101,102,103,104,105호","경상북도 구미시 산동읍 신당리 1404 1층 101,102,103,104,105호 1동 "
휴게음식점,카페보나,"경상북도 구미시 구미중앙로 101-2, 1,2층 (원평동)","경상북도 구미시 원평동 371-4 1,2층 "
휴게음식점,더벤티구미형곡점,"경상북도 구미시 신시로 55, 1층 (형곡동)",경상북도 구미시 형곡동 145-33 1층 
휴게음식점,구미경찰서카페808,"경상북도 구미시 구미대로 350-19, 구미경찰서 본관 1층 (신평동)",경상북도 구미시 신평동 188-2 구미경찰서 본관 1층 
휴게음식점,더벤티구미신평점,"경상북도 구미시 신비로 4, 1층 나호 (신평동)",경상북도 구미시 신평동 129-2 1층 나호
휴게음식점,드롭탑구미터미널점,"경상북도 구미시 송원동로 58-7, 1층 102호 (원평동)",경상북도 구미시 원평동 1074-2 1층 102호
휴게음식점,빽다방구미확장단지점,"경상북도 구미시 산동읍 신당1로2길 13, 1동 1층 110호",경상북도 구미시 산동읍 신당리 1433 1층 1동 110호
휴게음식점,투썸플레이스구미봉곡점,"경상북도 구미시 봉곡북로 69, 1층 (봉곡동)",경상북도 구미시 봉곡동 167-5 1층 
휴게음식점,읍천리구미봉곡점,"경상북도 구미시 봉곡남로 87-1, 1층 (봉곡동)",경상북도 구미시 봉곡동 302-4 1층 
휴게음식점,디넛,"경상북도 구미시 문장로10안길 7-2, 1층 (도량동)",경상북도 구미시 도량동 608-90 1층 
