dong_code,year_month,home_pop,work_pop,living_pop,inflow_pop,total_demand_pop
47190250,202301,8018.961182795699,382.10165322580644,8401.062836021505,13.765085063162573,7142.968173
47190250,202302,8419.954298507462,382.55658208955225,8802.510880597014,13.531731484612783,7484.164008
47190250,202303,8047.660027,425.68016129032253,8473.340188172042,13.73178633,7204.398928
47190250,202304,8179.618888888888,445.52973611111105,8625.148625,14.373566197183099,7333.532366
47190250,202305,8192.755652759086,458.8514401076716,8651.607092866758,14.113614225193809,7355.983071
47190250,202306,8118.471152777778,443.70236111111114,8562.173513888889,13.389148203724954,7279.855859
47190250,202307,8142.496559139784,455.32153225806456,8597.818091397849,13.239991047715677,7310.131376
47190250,202308,7949.2997043010755,461.3635483870967,8410.663252688173,13.452584369187162,7151.081652
47190250,202309,7467.370819444444,385.705875,7853.076694444444,14.585861077647573,6677.303069
47190250,202310,7719.405524193548,391.13498655913975,8110.5405107526885,14.409429055138796,6896.120848
47190250,202311,7680.910055555556,424.4084861111111,8105.318541666667,14.082416829745597,6891.633123
47190250,202312,7647.913763,371.2311424731183,8019.144905913978,13.612470131885182,6818.315041
47190250,202401,7567.798413978494,454.0368145,8021.835228494623,13.728382019642407,6820.619202
47190250,202402,7533.257098,441.6281465517241,7974.885244252874,14.780817475293441,6780.86958
47190250,202403,7307.451491935484,391.22887096774195,7698.6803629032265,14.497967216040935,6546.053004
47190250,202404,7382.535972222223,430.03883333333334,7812.574805555556,15.037984336356141,6642.944282
47190250,202405,7300.625362903225,429.31286290322583,7729.938225806452,14.607372726264419,6572.638598
47190250,202406,7280.635083333333,425.423625,7706.058708333333,13.93353858298796,6552.239933
47190250,202407,7389.290430107527,432.7561962365591,7822.046626344086,13.650420250533973,6650.787195
47190250,202408,7346.790483870968,429.75443548387096,7776.544919354839,13.533382211945181,6612.093189
47190250,202409,7268.509986111112,405.18083333333334,7673.690819444446,14.741694543683014,6524.848451
47190250,202410,7120.8516801075275,345.2816129032258,7466.133293010753,15.201732656023221,6348.493559
47190250,202411,6935.840388888889,383.29380555555554,7319.134194444445,15.05339673271998,6223.522075
47190250,202412,6906.037688172043,231.25233870967742,7137.290027,14.26477981651376,6068.83624
47190253,202301,16342.755793010754,847.6611559139785,17190.416948924732,23.437688249400477,14615.37006
47190253,202302,16811.746746268658,796.7884478,17608.535194029853,23.321942901997268,14970.75321
47190253,202303,16496.66130376344,888.1003763,17384.761680107527,24.549327447076084,14780.72983
47190253,202304,16370.634430555554,837.1302916666666,17207.764722222222,24.522197859026736,14630.27834
47190253,202305,16504.359205921937,833.2775639300135,17337.63676985195,24.426639329916238,14740.65525
47190253,202306,16175.425041666665,866.6105694444444,17042.03561111111,23.87924481600283,14489.31216
47190253,202307,16014.366169354838,838.8909543010752,16853.257123655912,23.44640625794963,14328.78552
47190253,202308,15581.480981182794,749.7137634408602,16331.194744623655,23.119981118113856,13884.98353
47190253,202309,15305.134486111112,792.0904027777777,16097.22488888889,24.136521869084387,13686.26163
47190253,202310,15237.96502688172,722.0472715053764,15960.012298387097,25.084250431217658,13569.77309
47190253,202311,14944.536624999999,769.9277361,15714.46436111111,24.433289210526315,13360.9597
47190253,202312,15037.653508064517,724.0695967741935,15761.723104838711,23.62459536980127,13401.00833
47190253,202401,14750.335658602151,792.8456182795699,15543.181276881722,22.141824129404494,13215.02536
47190253,202402,14526.67058908046,777.0238218390804,15303.694410919541,23.262634048980473,13011.62964
47190253,202403,14031.07629032258,755.0709005376344,14786.147190860214,23.863980724373928,12571.80471
47190253,202404,13969.332250000001,776.4661527777778,14745.798402777778,25.303708039784503,12537.7242
47190253,202405,13695.507150537635,775.3666532258065,14470.873803763441,25.25365635755033,12304.03078
47190253,202406,13726.151472222224,846.1746944444445,14572.326166666668,24.431560817559504,12390.14198
47190253,202407,13521.33936827957,844.8045295698925,14366.143897849463,24.381293225381654,12214.87951
47190253,202408,13192.092889784946,737.5015322580646,13929.59442204301,24.11573243428125,11843.77262
47190253,202409,12826.192152777778,754.6662222222222,13580.85838,24.636289514719085,11547.42507
47190253,202410,12484.826599462365,669.7892876344085,13154.615887096774,27.58989399207959,11185.56199
47190253,202411,12327.034666666668,693.7797083333334,13020.814375000002,26.209572603279334,11071.62365
47190253,202412,12245.707876344086,496.0331048387097,12741.740981182795,25.055948225571218,10834.23823
47190256,202301,10761.015255376344,1684.9820833333333,12445.997338709676,24.82735172843028,10582.82184
47190256,202302,11804.961507462687,1984.349671641791,13789.311179104478,25.289352963755004,11724.70791
47190256,202303,11640.41565860215,2216.4277822580643,13856.843440860215,26.516349650349653,11782.29438
47190256,202304,11947.641791666667,2171.830513888889,14119.472305555555,26.73794573932038,12005.56215
47190256,202305,11920.175679676984,2193.2734454912516,14113.449125168236,26.899417006351314,12000.46667
47190256,202306,11889.473666666665,2146.5525694444445,14036.026236111109,26.18837970739307,11934.55056
47190256,202307,11480.887849462366,2069.1222849462365,13550.010134408603,25.444487101112607,11521.32529
47190256,202308,11380.239986559141,2015.369637096774,13395.609623655915,24.91161133681098,11390.00492
47190256,202309,10710.989361111111,1997.8157777777776,12708.805138888889,25.509122884043123,10806.31074
47190256,202310,10649.24755376344,1940.0745833333333,12589.322137096773,26.128215555714664,10704.84305
47190256,202311,10500.58463,2015.0555694444445,12515.640194444444,26.610940572158867,10642.28581
47190256,202312,10216.391559139785,1776.2637768817203,11992.655336021506,24.849935235081823,10197.48453
47190256,202401,10431.972177419355,1930.5363172043012,12362.508494623657,24.366947373547962,10511.78726
47190256,202402,10133.247772988507,1887.1660344827587,12020.413807471265,24.61531415360904,10221.04403
47190256,202403,10355.607634408601,2073.819798387097,12429.42743,24.92380440684101,10568.75189
47190256,202404,11191.817597222222,2186.277597222222,13378.095194444444,26.878469718093527,11375.41269
47190256,202405,10823.08369623656,2119.295120967742,12942.378817204302,26.69029501436687,11005.02554
47190256,202406,10170.803194444445,1982.9243472222222,12153.727541666667,25.423807602365994,10334.48198
47190256,202407,9917.246532258065,2076.950819892473,11994.197352150539,25.487181476846057,10198.89083
47190256,202408,9781.924448924732,1918.1129838709678,11700.03743,24.913888474970896,9948.768899
47190256,202409,9591.934194444444,1799.1625416666668,11391.09673611111,25.416843480652854,9686.244752
47190256,202410,9610.466599462367,1863.6730913978495,11474.139690860216,28.196855230462717,9757.248266
47190256,202411,9338.547264,1747.4833888888888,11086.03065277778,26.857179679168652,9427.154632
47190256,202412,9022.257620967743,1696.946357526882,10719.203978494625,25.9640867,9115.217995
47190310,202301,218.4024865591398,6.379758064516129,224.7822446236559,5.819657293497364,191.9378565
47190310,202302,1264.073552238806,34.39586567164179,1298.4694179104479,5.392016693591815,1104.507808
