dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,amount_growth_24_vs_23,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190250,선산읍,제과점/아이스크림,5069473000,211228041.66666666,392795,362738,0.03617498305019392,8031.30073284811,409.4489950084314,14.138298024300068,6828.726367583334,0.5869731469957092,1.0,카페,1.0,5069473000.0,6828.726367583334,0.024022549512730324,0.17467193181359844,0.2740962445128608,0.08148859605003256,0.054476755261412865,0.1095,낮음,특징 약함
47190250,선산읍,커피전문점,4551382000,189640916.66666666,574465,497048,0.09394302707865407,8031.30073284811,409.4489950084314,14.138298024300068,6828.726367583334,0.6290204144242503,19.0,카페,19.0,239546421.0526316,359.4066509254386,0.02156594243025981,0.17467193181359844,0.28937745104657187,0.17499557836153798,0.0025547920736728987,0.1125,낮음,특징 약함
47190253,고아읍,제과점/아이스크림,6096015000,254000625.0,511865,481259,0.026480139645945273,15446.03402678309,774.4095981631389,24.342840790544923,13132.780349583334,0.5503301850928474,5.0,카페,5.0,1219203000.0,2626.5560699166667,0.02889005415506815,0.3610800377836362,0.27153169681414835,0.0,0.013086151504775923,0.1431,낮음,특징 약함
47190253,고아읍,커피전문점,14497102000,604045916.6666666,1265367,1112308,0.36479200677542317,15446.03402678309,774.4095981631389,24.342840790544923,13132.780349583334,0.6094277338635227,32.0,카페,32.0,453034437.5,410.3993859244792,0.06872508279801112,0.3610800377836362,0.36102431511820543,0.13142431804740487,0.004849799409668404,0.1823,낮음,특징 약함
47190256,산동읍,제과점/아이스크림,6176285000,257345208.33333334,485472,430576,0.617738769694121,12615.18330482625,1978.8944205945054,25.818657616310304,10726.778608916668,0.599745145802099,2.0,카페,2.0,3088142500.0,5363.389304458334,0.02927066653881909,0.2899356236147717,0.4279355597552915,0.10989165621324798,0.03317734882071147,0.1629,낮음,특징 약함
47190256,산동읍,커피전문점,9791612000,407983833.3333333,1207917,996671,0.31414648995390904,12615.18330482625,1978.8944205945054,25.818657616310304,10726.778608916668,0.6674856628051814,50.0,카페,50.0,195832240.0,214.53557217833335,0.04641328803513321,0.2899356236147717,0.34762720923428786,0.26053667341785924,0.002084862342382532,0.1672,낮음,특징 약함
47190310,무을면,커피전문점,21429000,3061285.714285714,1614,1295,0.0,1187.7935871707305,37.104703649964975,5.60245055431544,1010.4649166999999,0.800970109515875,1.0,카페,1.0,21429000.0,1010.4649166999999,8.648298576346572e-05,0.0026284975101442207,0.26452698530319874,0.5573865892572298,0.00021001839618819916,0.0961,낮음,특징 약함
47190320,옥성면,커피전문점,35871000,2989250.0,2509,1960,-1.0,1134.0786198984313,69.85351767244069,9.571585901198128,965.4025647833333,0.7106341735153627,4.0,카페,4.0,8967750.0,241.35064119583333,0.00015496191993726757,0.0012960235663414482,0.0,0.3564926599656567,7.605930732887448e-05,0.036,낮음,특징 약함
47190330,도개면,커피전문점,551585000,22982708.333333332,81172,65328,0.029818834846416255,1431.0074773177382,85.22800537138686,6.490991061841587,1217.3300044166667,0.7179754083141144,6.0,카페,6.0,91930833.33333333,202.88833406944445,0.0026002980962638186,0.008745407248337129,0.2724148717903752,0.37281849406743545,0.0009679167897077336,0.0814,낮음,특징 약함
47190340,해평면,커피전문점,239131000,9963791.666666666,15668,13670,0.218839598044037,2568.7740721839814,135.19640168265366,9.570051083135011,2184.893469041667,0.6352321815674852,5.0,카페,5.0,47826200.0,436.97869380833333,0.0011187500490168246,0.03735583370749207,0.3224159644387516,0.18880964134132128,0.0004937896759905758,0.077,낮음,특징 약함
47190360,장천면,제과점/아이스크림,36142000,1505916.6666666667,3922,3146,0.4067390291003529,2097.354111310622,211.84602492308338,9.579183676670626,1784.1878721249998,0.6790291730933483,0.0,카페,0.5,72284000.0,3568.3757442499996,0.00015624690755401734,0.025507145294273264,0.3721204344762651,0.28620775452111363,0.0007567123044189912,0.091,낮음,특징 약함
47190360,장천면,커피전문점,270845000,11285208.333333334,17595,12895,0.42597004765146357,2097.354111310622,211.84602492308338,9.579183676670626,1784.1878721249998,0.7213734107675851,4.0,카페,4.0,67711250.0,446.04696803124995,0.001269126791738605,0.025507145294273264,0.3772075578379003,0.3803751552904536,0.0007075550028977572,0.1015,낮음,특징 약함
47190510,송정동,제과점/아이스크림,4585013000,191042208.33333334,375316,332333,-0.11697669041418592,17391.912604449364,2045.8950595034087,22.930094031106076,14786.565227500001,0.6127928434385367,2.0,카페,2.0,2292506500.0,7393.282613750001,0.021725408919333285,0.40998172987805137,0.23358349403718853,0.13890783031230713,0.02462422023219285,0.1627,낮음,특징 약함
