store_name,addr,legal_dong,dong,category,lon,lat,store_x,store_y,cell_id,xcdn,ycdn,grid_dong,grid_distance
스타벅스구미공단점,경상북도 구미시 공단동 260-10 구미한라시그마밸리 106호 ,공단동,공단동,커피전문점,128.38595286169,36.101404419288,1079747.4561087494,1789744.0645537295,라마79b89b,1079500,1789500,공단동,347.5658673468383
할리스구미시청점,"경상북도 구미시 송정동 459 1, 2층 ",송정동,송정동,커피전문점,128.344690507815,36.1174273690875,1076017.7718512677,1791488.2812388933,라마76a91b,1076000,1791500,송정동,21.28774434636996
더벤티진평점,경상북도 구미시 진평동 85-7 1층 ,진평동,진미동,커피전문점,128.431609922178,36.092857981883,1083866.3853601655,1788834.4982753228,라마84a89a,1084000,1789000,인동동,212.70564837168283
커피온,경상북도 구미시 형곡동 146 풍림1단지 상가동 105호 ,형곡동,형곡1동,커피전문점,128.335134368959,36.1121925736524,1075162.7387012877,1790900.2039745087,라마75a91a,1075000,1791000,형곡1동,190.90084232568847
커피집,경상북도 구미시 봉곡동 227-6 1층 ,봉곡동,선주원남동,커피전문점,128.313784714991,36.1514148773076,1073204.7752453191,1795234.4644712354,라마73a95a,1073000,1795000,선주원남동,311.2980715764304
이디야커피구미인동점,경상북도 구미시 진평동 1023-1 시네마월드 106호,진평동,진미동,커피전문점,128.417780002869,36.1071252681706,1082606.4032804016,1790405.1997846155,라마82b90b,1082500,1790500,인동동,142.50873277508825
디저트39구미옥계점,경상북도 구미시 옥계동 739-3 2층 ,옥계동,양포동,제과점/아이스크림,128.422338695773,36.1367012820632,1082985.592416396,1793689.692951104,라마83a93b,1083000,1793500,양포동,190.2393076202122
카페인,경상북도 구미시 옥계동 832-4 타워밸리 2층 1동 202호,옥계동,양포동,커피전문점,128.419826711846,36.138261296981,1082757.9372947644,1793860.5893683005,라마83a94a,1083000,1794000,산동읍,279.3379270647037
드롭탑구미원평점,"경상북도 구미시 원평동 377-1 1층, 2층 ",원평동,원평동,커피전문점,128.333510042982,36.1287219042133,1075000.8210854274,1792732.390236203,라마75a92b,1075000,1792500,원평동,232.39168673558123
로작커피,경상북도 구미시 형곡동 104 1층 ,형곡동,형곡1동,커피전문점,128.338347523868,36.117037385911,1075447.2966516314,1791440.0817672382,라마75b91b,1075500,1791500,송정동,79.79873148466757
녹스커피,경상북도 구미시 장천면 상장리 887-6 1층 ,장천면,장천면,커피전문점,128.494987576186,36.1261426634895,1089534.2193323614,1792583.0107637974,라마89b92b,1089500,1792500,장천면,89.78724638550969
카페톤,경상북도 구미시 선산읍 완전리 73-1 1층 ,선산읍,선산읍,커피전문점,128.299288668191,36.2425156133078,1071817.4878297795,1805328.6711791514,라바72a05b,1072000,1805500,선산읍,250.32829870385663
커피할배순천향점,경상북도 구미시 공단동 250 1층 ,공단동,공단동,커피전문점,128.382695462244,36.1027925941306,1079452.8421259127,1789895.3749252302,라마79b90a,1079500,1790000,공단동,114.76180270033633
스타벅스구미금오산디티점,"경상북도 구미시 남통동 414-4 1동 1,2층 ",남통동,선주원남동,커피전문점,128.323931268606,36.1223375269604,1074144.8905302454,1792016.881046122,라마74a92a,1074000,1792000,원평동,145.87061209495914
맘스터치구평점,경상북도 구미시 구평동 447-2 1층 ,구평동,인동동,패스트푸드,128.433206788735,36.0937348865316,1084009.2107497933,1788933.1436140395,라마84a89a,1084000,1789000,인동동,67.48788228601904
카페카리타스,경상북도 구미시 상모동 156-1 2층 9동 ,상모동,상모사곡동,커피전문점,128.348843326219,36.0908109814345,1076417.2874807983,1788539.2394961666,라마76b88b,1076500,1788500,상모사곡동,91.54834183149468
요거프레소봉곡테마공원점,경상북도 구미시 봉곡동 227-10 1층 ,봉곡동,선주원남동,커피전문점,128.3136099374,36.1514217511542,1073189.0462497363,1795235.0951930992,라마73a95a,1073000,1795000,선주원남동,301.6757105862793
설빙경북구미봉곡점,경상북도 구미시 봉곡동 225-10 2층 ,봉곡동,선주원남동,제과점/아이스크림,128.314611990519,36.1513505575558,1073279.254979501,1795227.9539761133,라마73b95a,1073500,1795000,도량동,317.3190496975933
커피엔,경상북도 구미시 신평동 27 1층 1호,신평동,신평1동,커피전문점,128.361603324354,36.1241730809877,1077533.2393753955,1792249.8808044624,라마77b92a,1077500,1792000,신평1동,252.08187661043024
더카페구미이마트점,경상북도 구미시 광평동 65-1 1층 이마트구미점 ,광평동,광평동,커피전문점,128.3648571316,36.1094790454519,1077840.5496114818,1790622.6094094901,라마77b90b,1077500,1790500,신평1동,361.94903671090253
앨리스스토리카페,경상북도 구미시 도량동 748-3 102호 ,도량동,도량동,커피전문점,128.334631756721,36.1417297762066,1075089.3621691826,1794176.0994438445,라마75a94a,1075000,1794000,도량동,197.47559698193967
공차구미점,경상북도 구미시 원평동 381-4 1층 2층 ,원평동,원평동,커피전문점,128.333265391285,36.1282526111789,1074979.2527615742,1792680.14715696,라마75a92b,1075000,1792500,원평동,181.33793332643336
파스쿠찌구미봉곡점,"경상북도 구미시 봉곡동 297-7 1,2층 ",봉곡동,선주원남동,커피전문점,128.317350588332,36.1517021805954,1073525.2852186686,1795269.0262102797,라마73b95a,1073500,1795000,도량동,270.21185040734565
맘인더가든,경상북도 구미시 형곡동 289-6 1층 ,형곡동,형곡1동,한식,128.330304220679,36.1072920116695,1074732.6548406265,1790352.9084557507,라마74b90b,1074500,1790500,형곡1동,275.2529695690927
카페휴림,경상북도 구미시 고아읍 봉한리 426-7 나동 1층 ,고아읍,고아읍,커피전문점,128.349085138563,36.1847114354449,1076348.0251829275,1798954.9537374154,라마76b99a,1076500,1799000,고아읍,158.51028609230727
이디야커피구미봉곡점,경상북도 구미시 도량동 228-2 1층 101호,도량동,도량동,커피전문점,128.315967294598,36.1391434401738,1073412.5498596851,1793874.954688636,라마73b94a,1073500,1794000,도량동,152.59048769579044
봄봄구미점,경상북도 구미시 원평동 370-2 1층 ,원평동,원평동,커피전문점,128.335066012199,36.1283646597507,1075141.1737416028,1792693.9665790517,라마75a92b,1075000,1792500,원평동,239.90218654099482
이디야커피동구미이마트점,경상북도 구미시 임수동 92-28 동구미이마트 2층 ,임수동,진미동,커피전문점,128.404682895102,36.1063677938242,1081428.3264885582,1790310.1306756155,라마81b90b,1081500,1790500,진미동,202.94692060886294
커피볶는이야기,경상북도 구미시 구평동 1009 1층 ,구평동,인동동,커피전문점,128.445042155797,36.0915821175792,1085077.0050849617,1788704.6454457212,라마85a88b,1085000,1788500,인동동,218.65393105176446
미소다방,경상북도 구미시 원평동 1022-12 1층 ,원평동,원평동,커피전문점,128.341546883973,36.1277771495684,1075724.9148155558,1792633.8306939958,라마75b92b,1075500,1792500,원평동,261.7199436647826
더벤티구미원평점,경상북도 구미시 원평동 374-18 1층 ,원평동,원평동,커피전문점,128.334920913559,36.1286647344201,1075127.8311551332,1792727.1388524827,라마75a92b,1075000,1792500,원평동,260.6393341954141
스타벅스구미시청디티점,경상북도 구미시 송정동 33-11 ,송정동,송정동,커피전문점,128.341592200845,36.1176469353489,1075738.7232031587,1791510.2168222049,라마75b91b,1075500,1791500,송정동,238.9417317722424
투썸플레이스구미들성공원점,경상북도 구미시 고아읍 문성리 636 1층 ,고아읍,고아읍,커피전문점,128.340493568191,36.1594529848829,1075599.7305070632,1796146.5239505041,라마75b96a,1075500,1796000,고아읍,177.24401854625484
카페봄봄구미북삼점,경상북도 구미시 오태동 742-12 1층 ,오태동,임오동,커피전문점,128.349069369418,36.0709738882148,1076456.8419536736,1786339.0890888444,라마76b86b,1076500,1786500,임오동,166.59813411813613
더벤티상모점,경상북도 구미시 상모동 32-6 상모프라자 1층 119-1호 ,상모동,상모사곡동,커피전문점,128.355036136974,36.0874179614877,1076978.1177736905,1788167.769091277,라마77a88a,1077000,1788000,상모사곡동,169.19012919240637
이디야커피구미역점,"경상북도 구미시 원평동 1008-46 1,2층 ",원평동,원평동,커피전문점,128.331748517198,36.1285704683568,1074842.4559925029,1792714.2346549376,라마75a92b,1075000,1792500,원평동,265.92593268522734
카페100,경상북도 구미시 선산읍 완전리 100 1층 ,선산읍,선산읍,커피전문점,128.298591788313,36.2409117854508,1071756.3367284862,1805150.254544527,라바72a05a,1072000,1805000,선산읍,286.2659917556037
이디야커피구미황상점,경상북도 구미시 황상동 203-19 1층 ,황상동,인동동,커피전문점,128.425037528239,36.1145200736547,1083251.841766146,1791231.6311695762,라마83a91a,1083000,1791000,인동동,342.16556503362483
이득카페,경상북도 구미시 봉곡동 294-8 2층 ,봉곡동,선주원남동,커피전문점,128.315598301046,36.1509623279325,1073368.3430295726,1795185.6358841308,라마73b95a,1073500,1795000,도량동,227.58347773762526
카페카리타스송정점,경상북도 구미시 송정동 52-4 구미종합고용지원센터 1층 ,송정동,송정동,커피전문점,128.34600130754,36.1199460195375,1076133.3079527104,1791768.6773112502,라마76a92a,1076000,1792000,원평동,266.98538646574497
이디야커피구미옥계동점,경상북도 구미시 옥계동 631-10 1층 ,옥계동,양포동,커피전문점,128.41641325503,36.1389777466565,1082450.0666699032,1793937.156514228,라마82b94a,1082500,1794000,양포동,80.26606480024677
스타벅스구미옥계점,경상북도 구미시 옥계동 832-3 1층 ,옥계동,양포동,커피전문점,128.419549320887,36.1382926106445,1082732.9465541507,1793863.8264525982,라마82b94a,1082500,1794000,양포동,269.82833821275466
핸즈커피구미비산점,"경상북도 구미시 비산동 442-3 1,2층 ",비산동,비산동,커피전문점,128.374115799965,36.1224005670274,1078660.996674156,1792063.3275492834,라마78b92a,1078500,1792000,비산동,173.00377911349113
더벤티구미롯데마트점,경상북도 구미시 신평동 465 롯데마트 구미점 ,신평동,신평1동,커피전문점,128.365285770129,36.1137886301013,1077874.8746797002,1791100.974366238,라마78a91a,1078000,1791000,비산동,160.78609522376436
샤론카페,경상북도 구미시 선기동 747-118 1층 ,선기동,선주원남동,커피전문점,128.313592741608,36.1300272579179,1073207.3745484632,1792861.990884463,라마73a93a,1073000,1793000,도량동,249.09981798785284
더벤티도량점,경상북도 구미시 도량동 225-1 1층 104호,도량동,도량동,커피전문점,128.316023398837,36.1397154979439,1073417.0646557019,1793938.4501131664,라마73b94a,1073500,1794000,도량동,103.27952315480988
까페오즈,경상북도 구미시 신평동 70-269 1층 ,신평동,신평1동,커피전문점,128.364146662905,36.1232145278086,1077763.057968889,1792145.5895162658,라마78a92a,1078000,1792000,신평2동,278.09680572340187
요거프레소인동점,경상북도 구미시 인의동 687-5 섬계빌딩 1층 101호,인의동,인동동,커피전문점,128.4258263352,36.0999202842563,1083338.256987512,1789612.8828273404,라마83b89b,1083500,1789500,인동동,197.2392830980128
이디야커피구미시청점,경상북도 구미시 송정동 35-17 1층 ,송정동,송정동,커피전문점,128.342466398344,36.1203412807855,1075814.807467957,1791809.7565837258,라마76a92a,1076000,1792000,원평동,265.4973283484521
