year_month,dong_code,dong,category,amount,count,customer
202301,47190250,선산읍,기타음식점,14838759000,461376,414550
202301,47190250,선산읍,양식,49033000,3431,3210
202301,47190250,선산읍,일식,157401000,1875,1788
202301,47190250,선산읍,제과점/아이스크림,360815000,31708,28025
202301,47190250,선산읍,중식,122979000,5200,4783
202301,47190250,선산읍,패스트푸드,76537000,4858,4439
202301,47190250,선산읍,한식,2382090000,73533,66655
202301,47190253,b' ',기타음식점,26166000,455,448
202301,47190253,고아읍,기타음식점,18675079000,647624,568873
202301,47190253,고아읍,양식,120031000,7342,6366
202301,47190253,고아읍,일식,312950000,5459,5094
202301,47190253,고아읍,제과점/아이스크림,635964000,58802,52682
202301,47190253,고아읍,중식,278238000,11524,10600
202301,47190253,고아읍,패스트푸드,49114000,4444,4009
202301,47190253,고아읍,한식,3376799000,94860,88233
202301,47190256,산동읍,기타음식점,10423112000,396840,321345
202301,47190256,산동읍,양식,223530000,10671,8805
202301,47190256,산동읍,일식,54753000,1841,1563
202301,47190256,산동읍,제과점/아이스크림,416935000,43471,37334
202301,47190256,산동읍,중식,128528000,6176,5263
202301,47190256,산동읍,패스트푸드,74056000,6853,5908
202301,47190256,산동읍,한식,2866612000,78323,65330
202301,47190310,무을면,기타음식점,286109000,4011,3391
202301,47190310,무을면,중식,22922000,934,822
202301,47190310,무을면,한식,72336000,1487,1328
202301,47190320,옥성면,기타음식점,3627692000,66700,48674
202301,47190320,옥성면,양식,108000,14,14
202301,47190320,옥성면,제과점/아이스크림,471000,41,35
202301,47190320,옥성면,한식,1619949000,207832,123158
202301,47190330,도개면,기타음식점,4650457000,98894,76203
202301,47190330,도개면,양식,766000,189,189
202301,47190330,도개면,제과점/아이스크림,18274000,2541,1995
202301,47190330,도개면,중식,52954000,2062,1849
202301,47190330,도개면,한식,1130371000,111837,59320
202301,47190340,해평면,기타음식점,2088874000,36315,31984
202301,47190340,해평면,양식,307000,28,28
202301,47190340,해평면,제과점/아이스크림,10243000,574,502
202301,47190340,해평면,중식,27462000,959,797
202301,47190340,해평면,한식,524927000,13972,11223
202301,47190360,장천면,기타음식점,3330532000,66976,51393
202301,47190360,장천면,양식,2231000,109,77
202301,47190360,장천면,제과점/아이스크림,4011000,457,410
202301,47190360,장천면,중식,74045000,3359,2477
202301,47190360,장천면,패스트푸드,3595000,181,174
202301,47190360,장천면,한식,431737000,10011,7204
