year_month,dong_code,dong,category,amount,count,customer,store_count
202401,47190250,선산읍,기타음식점,15030033000,539311,487573,36
202401,47190250,선산읍,양식,52605000,4231,3903,7
202401,47190250,선산읍,일식,97718000,1190,1097,4
202401,47190250,선산읍,제과점/아이스크림,199497000,15401,14184,6
202401,47190250,선산읍,중식,141554000,6316,5941,4
202401,47190250,선산읍,커피전문점,167869000,21800,18343,6
202401,47190250,선산읍,패스트푸드,90645000,5711,5423,3
202401,47190250,선산읍,한식,2782964000,88065,81219,22
202401,47190253,고아읍,기타음식점,19027505000,746202,628999,87
202401,47190253,고아읍,양식,123226000,7533,6659,18
202401,47190253,고아읍,일식,229461000,3473,3193,3
202401,47190253,고아읍,제과점/아이스크림,270223000,21603,20440,7
202401,47190253,고아읍,중식,353892000,14031,12577,11
202401,47190253,고아읍,커피전문점,537172000,45748,40923,19
202401,47190253,고아읍,패스트푸드,83798000,6782,6201,3
202401,47190253,고아읍,한식,3684152000,103210,95505,45
202401,47190256,산동읍,기타음식점,10934676000,420914,343542,64
202401,47190256,산동읍,양식,212941000,12092,9504,19
202401,47190256,산동읍,일식,55854000,1258,1125,2
202401,47190256,산동읍,제과점/아이스크림,204113000,14917,13350,4
202401,47190256,산동읍,중식,199105000,8224,6811,7
202401,47190256,산동읍,커피전문점,347840000,42317,34503,13
202401,47190256,산동읍,패스트푸드,107514000,9357,7725,3
202401,47190256,산동읍,한식,3736648000,110550,90014,40
202401,47190310,무을면,기타음식점,261372000,4458,3792,8
202401,47190310,무을면,중식,25899000,976,882,2
202401,47190310,무을면,한식,81812000,1836,1775,5
202401,47190320,옥성면,기타음식점,3505824000,69566,51273,10
202401,47190320,옥성면,한식,1696740000,211827,124572,8
202401,47190330,도개면,기타음식점,5366819000,116008,89146,24
202401,47190330,도개면,양식,1098000,235,228,2
202401,47190330,도개면,중식,52345000,1861,1628,2
202401,47190330,도개면,커피전문점,13287000,2117,1745,2
202401,47190330,도개면,한식,1698382000,174856,93726,13
202401,47190340,해평면,기타음식점,1874154000,37296,32514,18
202401,47190340,해평면,양식,735000,62,56,2
202401,47190340,해평면,중식,52535000,1418,1205,3
202401,47190340,해평면,커피전문점,12400000,847,768,2
202401,47190340,해평면,한식,736368000,19084,15205,18
202401,47190360,장천면,기타음식점,3151463000,68839,54372,28
202401,47190360,장천면,양식,4286000,170,118,3
202401,47190360,장천면,제과점/아이스크림,1208000,147,127,2
202401,47190360,장천면,중식,86364000,3749,2686,1
202401,47190360,장천면,커피전문점,21774000,567,497,3
202401,47190360,장천면,패스트푸드,2144000,90,83,1
202401,47190360,장천면,한식,429941000,10529,8190,11
202401,47190510,송정동,기타음식점,11162373000,441592,355549,18
202401,47190510,송정동,양식,171878000,8038,6862,9
202401,47190510,송정동,일식,300268000,4297,3844,6
202401,47190510,송정동,제과점/아이스크림,178530000,14881,12982,4
202401,47190510,송정동,중식,279095000,9475,8374,5
202401,47190510,송정동,커피전문점,275262000,36119,30176,6
202401,47190510,송정동,패스트푸드,186743000,14278,12184,7
202401,47190510,송정동,한식,3390196000,78420,69738,13
202401,47190535,원평동,기타음식점,32351470000,916839,772728,26
202401,47190535,원평동,양식,130971000,11649,9953,12
202401,47190535,원평동,일식,140595000,3785,3491,3
202401,47190535,원평동,제과점/아이스크림,131369000,12469,10897,3
202401,47190535,원평동,중식,227397000,11279,9654,6
202401,47190535,원평동,커피전문점,343477000,43850,38189,11
202401,47190535,원평동,패스트푸드,67346000,7201,6391,1
202401,47190535,원평동,한식,3555648000,134553,115033,16
202401,47190551,도량동,기타음식점,16771148000,590427,534203,36
202401,47190551,도량동,양식,171265000,9517,8667,15
202401,47190551,도량동,일식,21642000,467,460,3
202401,47190551,도량동,제과점/아이스크림,143346000,12604,11832,7
202401,47190551,도량동,중식,128669000,5433,5095,6
202401,47190551,도량동,커피전문점,65489000,12344,11100,10
202401,47190551,도량동,패스트푸드,237899000,22858,20030,8
202401,47190551,도량동,한식,1725362000,40383,37036,26
202401,47190555,지산동,기타음식점,4234688000,91281,82042,16
202401,47190555,지산동,양식,7407000,491,397,2
202401,47190555,지산동,일식,5986000,81,81,1
202401,47190555,지산동,제과점/아이스크림,36347000,2658,2287,1
202401,47190555,지산동,중식,4926000,177,157,1
202401,47190555,지산동,커피전문점,58248000,4134,3564,2
202401,47190555,지산동,한식,264309000,6013,5539,8
202401,47190565,선주원남동,기타음식점,25144785000,955210,815243,62
202401,47190565,선주원남동,양식,789001000,25749,21959,34
202401,47190565,선주원남동,일식,243562000,6675,5725,11
202401,47190565,선주원남동,제과점/아이스크림,407475000,30636,27738,11
202401,47190565,선주원남동,중식,302306000,12935,10916,11
202401,47190565,선주원남동,커피전문점,980589000,82713,69092,29
202401,47190565,선주원남동,패스트푸드,68349000,5189,4711,5
202401,47190565,선주원남동,한식,9154204000,244150,216181,39
202401,47190582,형곡1동,기타음식점,17182975000,470594,378194,14
202401,47190582,형곡1동,양식,65925000,4595,3944,7
202401,47190582,형곡1동,일식,120977000,2574,2302,3
202401,47190582,형곡1동,제과점/아이스크림,181650000,16131,14169,5
202401,47190582,형곡1동,중식,22347000,1101,889,2
202401,47190582,형곡1동,커피전문점,157094000,20224,17129,3
202401,47190582,형곡1동,패스트푸드,127896000,13022,11203,4
202401,47190582,형곡1동,한식,1151247000,40927,37179,11
202401,47190583,형곡2동,기타음식점,5666330000,286801,240872,13
202401,47190583,형곡2동,양식,31713000,2384,2122,6
202401,47190583,형곡2동,일식,93521000,1234,1128,3
202401,47190583,형곡2동,제과점/아이스크림,145984000,9507,8879,4
202401,47190583,형곡2동,중식,73133000,3363,3133,3
202401,47190583,형곡2동,커피전문점,143155000,15166,13632,6
202401,47190583,형곡2동,패스트푸드,38117000,3944,3397,2
