dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,amount_growth_24_vs_23,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason,rank
47190565,선주원남동,양식,15967067000,665294458.3333334,577848,485796,0.5216256086296183,34924.23960011107,2189.070727388618,26.859018508625724,23355.1182575,0.6856720000706802,8.0,음식점,8.0,1995883375.0,2919.3897821875,0.07569290967344051,0.8552106853488497,0.4025110350109378,0.2699394978146486,0.0834759185002144,0.3402,낮음,수요인구 높음,1
47190670,인동동,양식,6816740000,284030833.3333333,338720,283674,-0.06319063795256924,40866.7865658653,2841.442369447139,22.438382147107323,27188.273249583333,0.6918366665419633,15.0,음식점,15.0,454449333.3333333,1812.5515499722221,0.0323051409719226,1.0,0.24781135634621967,0.28425759706397463,0.018789089571070026,0.3297,낮음,수요인구 높음,2
47190690,양포동,양식,5267766000,219490250.0,260611,220381,0.19979796705919298,39993.653595109245,4081.2298336596323,22.810439389922948,25957.22364333333,0.6659304483180543,7.0,음식점,7.0,752538000.0,3708.174806190476,0.024960427975691427,0.9534997073797867,0.31737893919907484,0.22408762591751882,0.03129848670721632,0.3218,낮음,수요인구 높음,3
47190680,진미동,양식,7031394000,292974750.0,182536,146032,0.038587478074308165,28684.342816146924,8317.457238839264,27.629095692309605,15923.074261666667,0.7839476385906745,2.0,음식점,2.0,3515697000.0,7961.537130833333,0.03332295794205445,0.5744809577911726,0.2747344145486487,0.498195211676049,0.14725543893837637,0.2684,낮음,특징 약함,4
47190645,상모사곡동,양식,2776776000,115699000.0,213260,185753,0.03721126785363177,24051.67057336895,1604.1845587222215,19.566057643169106,16036.0337275,0.6738086083016475,5.0,음식점,5.0,555355200.0,3207.2067455,0.013148992388985715,0.5787477624664721,0.27437036980782975,0.24238549767953776,0.023023640228817366,0.2181,낮음,특징 약함,5
47190551,도량동,양식,3650073000,152086375.0,209950,189574,0.010940952792314723,22078.523394552427,902.019233998892,22.02356757866502,15006.159116249999,0.6266428222691146,1.0,음식점,1.0,3650073000.0,15006.159116249999,0.01728987262678809,0.5398464293746779,0.26742116256169435,0.13283789948713806,0.15289457567028877,0.2173,낮음,특징 약함,6
47190253,고아읍,양식,3528944000,147039333.33333334,201912,172882,0.14522602129333226,15446.03402678309,774.4095981631389,24.342840790544923,10427.453303875,0.6361781771136926,0.0,음식점,0.5,7057888000.0,20854.90660775,0.016715519706390146,0.3668955108931114,0.302943186903502,0.15498478410420524,0.29590474669831524,0.2029,낮음,특징 약함,7
47190583,형곡2동,양식,1413345000,58889375.0,72662,63113,1.4105157236346788,12458.68742171004,788.2809051720455,17.18509709814436,8328.659252291667,0.641413949604298,1.0,음식점,1.0,1413345000.0,8328.659252291667,0.006684061805796801,0.287618008952732,0.63764645739904,0.1671454274279916,0.05902948797533595,0.1955,낮음,소비 성장률 높음,8
47190600,신평2동,양식,81911000,3412958.3333333335,3154,2730,2.7803326524657135,1082.9253183581955,89.03443281011835,7.24261045481596,714.2547674958333,0.6784139299416231,0.0,음식점,0.5,163822000.0,1428.5095349916667,0.00037085021966039224,0.0,1.0,0.25308185126547883,0.006592809947493261,0.1764,낮음,소비 성장률 높음,9
47190510,송정동,양식,3689525000,153730208.33333334,203153,174573,0.028242375932823,17391.912604449364,2045.8950595034087,22.930094031106076,11153.684302374999,0.6553821964958195,6.0,음식점,6.0,614920833.3333334,1858.9473837291664,0.017476940722913212,0.39432734935735403,0.271997855866508,0.19958817940225496,0.025523333260978068,0.1693,낮음,특징 약함,10
47190670,인동동,일식,2829098000,117879083.33333333,46996,40467,0.24205066431031,40866.7865658653,2841.442369447139,22.438382147107323,27188.273249583333,0.7127980387833447,22.0,음식점,22.0,128595363.63636364,1235.830602253788,0.013397085690350882,1.0,0.3285559178238416,0.3329426329133996,0.005114511597639841,0.338,낮음,수요인구 높음,1
47190565,선주원남동,일식,7122783000,296782625.0,138466,120312,0.7254768486206516,34924.23960011107,2189.070727388618,26.859018508625724,23355.1182575,0.6737920672907262,7.0,음식점,7.0,1017540428.5714285,3336.4454653571424,0.03375629379921704,0.8552106853488497,0.4564351889760847,0.24234707940708805,0.042419408069685346,0.3247,낮음,수요인구 높음,2
47190690,양포동,일식,4975761000,207323375.0,94110,82603,-0.10020487922587266,39993.653595109245,4081.2298336596323,22.810439389922948,25957.22364333333,0.6732681546142865,4.0,음식점,4.0,1243940250.0,6489.305910833333,0.02357583861624157,0.9534997073797867,0.2380200906889075,0.24113023600863534,0.05192035726534727,0.3142,낮음,수요인구 높음,3
47190680,진미동,일식,4553935000,189747291.66666666,63172,51652,0.14845650021159343,28684.342816146924,8317.457238839264,27.629095692309605,15923.074261666667,0.7335658649028977,0.0,음식점,0.5,9107870000.0,31846.148523333333,0.02157568179995659,0.5744809577911726,0.3037977357528352,0.38117813713048554,0.3819329719465684,0.2921,낮음,특징 약함,4
47190645,상모사곡동,일식,12133817000,505575708.3333333,214985,195698,0.1436134936268318,24051.67057336895,1604.1845587222215,19.566057643169106,16036.0337275,0.7326298973326303,15.0,음식점,15.0,808921133.3333334,1069.0689151666668,0.05751692925491629,0.5787477624664721,0.3025166298211647,0.3790042520342413,0.03366462499262678,0.2531,낮음,특징 약함,5
47190551,도량동,일식,1146899000,47787458.333333336,25178,22904,1.6484429924320747,22078.523394552427,902.019233998892,22.02356757866502,15006.159116249999,0.6051979648003765,5.0,음식점,5.0,229379800.0,3001.2318232499997,0.00542066461578986,0.5398464293746779,0.700584640535439,0.08302991732697197,0.009343966389442473,0.2517,낮음,소비 성장률 높음,6
47190510,송정동,일식,9466083000,394420125.0,113439,101164,0.010071717269095408,17391.912604449364,2045.8950595034087,22.930094031106076,11153.684302374999,0.688112862751404,16.0,음식점,16.0,591630187.5,697.1052688984374,0.0448674331495667,0.39432734935735403,0.2671912263092187,0.2756086632560202,0.024545933007743017,0.1856,낮음,특징 약함,7
47190256,산동읍,일식,2044818000,85200750.0,50761,43303,1.1212210021155977,12615.18330482625,1978.8944205945054,25.818657616310304,7843.762968958334,0.6783215055833774,9.0,음식점,9.0,227202000.0,871.5292187731482,0.009678294084627233,0.26930207842403575,0.5611201968514692,0.2528671857778031,0.009252574236269594,0.1816,낮음,특징 약함,8
47190253,고아읍,일식,6913303000,288054291.6666667,123018,114922,-0.12108892162351675,15446.03402678309,774.4095981631389,24.342840790544923,10427.453303875,0.5988741334044042,10.0,음식점,10.0,691330300.0,1042.7453303875,0.032763010194424125,0.3668955108931114,0.23249569791251454,0.06834214046421354,0.028729883762152655,0.1492,낮음,특징 약함,9
47190583,형곡2동,일식,2062162000,85923416.66666667,28414,26680,0.06290464567244208,12458.68742171004,788.2809051720455,17.18509709814436,8328.659252291667,0.6361262636284989,2.0,음식점,2.0,1031081000.0,4164.329626145834,0.009760533490974036,0.287618008952732,0.2811669615844957,0.15486420946535903,0.042987642975575835,0.1394,낮음,특징 약함,10
47190670,인동동,중식,4361312000,181721333.33333334,170008,141801,0.071464940078578,40866.7865658653,2841.442369447139,22.438382147107323,27188.273249583333,0.7051245160869692,28.0,음식점,28.0,155761142.85714287,971.0097589136905,0.02066232841153752,1.0,0.28343139045705873,0.31512005320524045,0.0062545332045854185,0.3322,낮음,수요인구 높음,1
47190690,양포동,중식,5615400000,233975000.0,276849,228679,-0.04990024465670792,39993.653595109245,4081.2298336596323,22.810439389922948,25957.22364333333,0.6908406055289372,14.0,음식점,14.0,401100000.0,1854.087403095238,0.026608791316671862,0.9534997073797867,0.25132702401826773,0.2819441384998614,0.016550265783912804,0.3161,낮음,수요인구 높음,2
47190565,선주원남동,중식,6834276000,284761500.0,292330,256453,0.1404275483260146,34924.23960011107,2189.070727388618,26.859018508625724,23355.1182575,0.6856867518085322,8.0,음식점,8.0,854284500.0,2919.3897821875,0.03238829077760166,0.8552106853488497,0.30167386131539864,0.2699737603084347,0.035568314842400625,0.3027,낮음,수요인구 높음,3
47190680,진미동,중식,8044111000,335171291.6666667,287469,245697,-0.05450997255455472,28684.342816146924,8317.457238839264,27.629095692309605,15923.074261666667,0.7133391829602399,2.0,음식점,2.0,4022055500.0,7961.537130833333,0.038124920861641376,0.5744809577911726,0.25010762659438224,0.3341994983203237,0.16850495385819886,0.2532,낮음,특징 약함,4
47190645,상모사곡동,중식,5971150000,248797916.66666666,221647,193991,-0.043491652200467766,24051.67057336895,1604.1845587222215,19.566057643169106,16036.0337275,0.6901567562024802,21.0,음식점,21.0,284340476.1904762,763.6206536904762,0.028295637996092717,0.5787477624664721,0.25302226966075375,0.2803558250731078,0.01165041075388596,0.2223,낮음,특징 약함,5
47190551,도량동,중식,2440490000,101687083.33333333,113244,103020,0.4664269457616293,22078.523394552427,902.019233998892,22.02356757866502,15006.159116249999,0.6094034812390665,12.0,음식점,12.0,203374166.66666666,1250.5132596874998,0.011554437441871951,0.5398464293746779,0.3879094991297011,0.09279768044024599,0.008252630718142197,0.2077,낮음,특징 약함,6
47190510,송정동,중식,6157557000,256564875.0,207904,183596,-0.03712673078713119,17391.912604449364,2045.8950595034087,22.930094031106076,11153.684302374999,0.661963706320667,8.0,음식점,8.0,769694625.0,1394.2105377968749,0.02917951720613011,0.39432734935735403,0.2547059631339154,0.2148744420608359,0.03201847059000154,0.1733,낮음,특징 약함,7
47190660,임오동,중식,1688119000,70338291.66666667,81779,72535,0.3591611593174008,12370.367510232674,1023.5414152434674,21.193990375181734,8149.605948583333,0.7369094224611148,5.0,음식점,5.0,337623800.0,1629.9211897166665,0.00798694756684019,0.28085464947900934,0.35953480401543264,0.3889439082695076,0.013886464427850574,0.1679,낮음,특징 약함,8
