category,dong,cell_id,xcdn,ycdn,store_count
제과점/아이스크림,산동읍,라마84b96a,1084500,1796000,1
제과점/아이스크림,상모사곡동,라마76b88a,1076500,1788000,1
제과점/아이스크림,상모사곡동,라마77a87b,1077000,1787500,1
제과점/아이스크림,상모사곡동,라마77a88a,1077000,1788000,3
제과점/아이스크림,상모사곡동,라마77a88b,1077000,1788500,2
제과점/아이스크림,상모사곡동,라마77a89a,1077000,1789000,1
제과점/아이스크림,상모사곡동,라마77a89b,1077000,1789500,1
제과점/아이스크림,상모사곡동,라마77b89a,1077500,1789000,2
제과점/아이스크림,선산읍,라바71b05b,1071500,1805500,1
제과점/아이스크림,선주원남동,라마72b95a,1072500,1795000,1
제과점/아이스크림,선주원남동,라마73a95a,1073000,1795000,2
제과점/아이스크림,선주원남동,라마73a95b,1073000,1795500,4
제과점/아이스크림,송정동,라마75a91b,1075000,1791500,1
제과점/아이스크림,송정동,라마75b91a,1075500,1791000,2
제과점/아이스크림,송정동,라마75b91b,1075500,1791500,1
제과점/아이스크림,송정동,라마76a91b,1076000,1791500,3
제과점/아이스크림,송정동,라마76b91a,1076500,1791000,1
제과점/아이스크림,송정동,라마76b91b,1076500,1791500,1
제과점/아이스크림,신평1동,라마77b92a,1077500,1792000,2
제과점/아이스크림,신평2동,라마78a92a,1078000,1792000,3
제과점/아이스크림,양포동,라마82a95a,1082000,1795000,1
제과점/아이스크림,양포동,라마82b93a,1082500,1793000,1
제과점/아이스크림,양포동,라마82b93b,1082500,1793500,1
제과점/아이스크림,양포동,라마82b94a,1082500,1794000,2
제과점/아이스크림,양포동,라마82b94b,1082500,1794500,2
제과점/아이스크림,양포동,라마83a93b,1083000,1793500,4
제과점/아이스크림,양포동,라마83b94a,1083500,1794000,2
제과점/아이스크림,원평동,라마74a93a,1074000,1793000,1
제과점/아이스크림,원평동,라마74b92b,1074500,1792500,3
제과점/아이스크림,원평동,라마74b93a,1074500,1793000,1
제과점/아이스크림,원평동,라마75a92b,1075000,1792500,2
제과점/아이스크림,원평동,라마75a93a,1075000,1793000,4
제과점/아이스크림,원평동,라마75b92a,1075500,1792000,2
제과점/아이스크림,원평동,라마75b92b,1075500,1792500,2
제과점/아이스크림,원평동,라마76b92a,1076500,1792000,1
제과점/아이스크림,인동동,라마82b90b,1082500,1790500,1
제과점/아이스크림,인동동,라마83a89a,1083000,1789000,1
제과점/아이스크림,인동동,라마83a89b,1083000,1789500,2
제과점/아이스크림,인동동,라마83a90a,1083000,1790000,2
제과점/아이스크림,인동동,라마83a90b,1083000,1790500,4
제과점/아이스크림,인동동,라마83a91a,1083000,1791000,1
제과점/아이스크림,인동동,라마83b89b,1083500,1789500,2
제과점/아이스크림,인동동,라마83b91b,1083500,1791500,1
제과점/아이스크림,인동동,라마84a89a,1084000,1789000,6
제과점/아이스크림,인동동,라마86a89a,1086000,1789000,1
제과점/아이스크림,인동동,라마86b89a,1086500,1789000,1
제과점/아이스크림,임오동,라마76b86b,1076500,1786500,2
제과점/아이스크림,임오동,라마77a86b,1077000,1786500,1
제과점/아이스크림,형곡1동,라마75a90b,1075000,1790500,2
제과점/아이스크림,형곡1동,라마75a91a,1075000,1791000,1
제과점/아이스크림,형곡1동,라마75b90b,1075500,1790500,2
중식,고아읍,라마74b95a,1074500,1795000,1
중식,고아읍,라마74b95b,1074500,1795500,2
중식,고아읍,라마75a95a,1075000,1795000,1
중식,고아읍,라마76a96b,1076000,1796500,3
중식,고아읍,라마76a99b,1076000,1799500,1
중식,고아읍,라마76b95b,1076500,1795500,1
중식,고아읍,라마76b98b,1076500,1798500,1
중식,고아읍,라바73a03b,1073000,1803500,1
중식,고아읍,라바74b01b,1074500,1801500,2
중식,공단동,라마78a88b,1078000,1788500,1
중식,공단동,라마79a90b,1079000,1790500,1
중식,공단동,라마79b89b,1079500,1789500,3
중식,광평동,라마77b89b,1077500,1789500,1
중식,도개면,라바74b11b,1074500,1811500,1
중식,도량동,라마73a94a,1073000,1794000,1
중식,도량동,라마73b93b,1073500,1793500,1
중식,도량동,라마73b94a,1073500,1794000,2
중식,도량동,라마73b95a,1073500,1795000,1
중식,도량동,라마74a93b,1074000,1793500,2
중식,도량동,라마74a94a,1074000,1794000,1
중식,도량동,라마74a94b,1074000,1794500,1
중식,도량동,라마75a94a,1075000,1794000,3
중식,무을면,라바62b07a,1062500,1807000,1
중식,비산동,라마78b92a,1078500,1792000,4
중식,비산동,라마79a92a,1079000,1792000,2
중식,산동읍,라마83a94a,1083000,1794000,4
중식,산동읍,라마83b94b,1083500,1794500,1
중식,산동읍,라마83b95b,1083500,1795500,2
중식,산동읍,라마84a95b,1084000,1795500,1
중식,산동읍,라마84a96a,1084000,1796000,1
중식,산동읍,라마84b94a,1084500,1794000,1
중식,산동읍,라마84b95b,1084500,1795500,1
중식,산동읍,라마84b96a,1084500,1796000,1
중식,산동읍,라마84b97b,1084500,1797500,1
중식,산동읍,라마87a96b,1087000,1796500,1
중식,상모사곡동,라마76b88b,1076500,1788500,1
중식,상모사곡동,라마77a88a,1077000,1788000,3
중식,상모사곡동,라마77a88b,1077000,1788500,8
중식,상모사곡동,라마77a89a,1077000,1789000,3
중식,상모사곡동,라마77b89a,1077500,1789000,5
중식,선산읍,라바71b05a,1071500,1805000,1
중식,선산읍,라바71b05b,1071500,1805500,1
중식,선산읍,라바72a05a,1072000,1805000,3
중식,선산읍,라바72a05b,1072000,1805500,3
중식,선산읍,라바72a06a,1072000,1806000,1
중식,선주원남동,라마71a95b,1071000,1795500,1
중식,선주원남동,라마72b94a,1072500,1794000,1
중식,선주원남동,라마72b95b,1072500,1795500,1
중식,선주원남동,라마73a94b,1073000,1794500,1
중식,선주원남동,라마73a95a,1073000,1795000,1
중식,선주원남동,라마73a95b,1073000,1795500,3
중식,송정동,라마75b91a,1075500,1791000,3
중식,송정동,라마75b91b,1075500,1791500,2
중식,송정동,라마76a91b,1076000,1791500,2
중식,송정동,라마76b91b,1076500,1791500,1
중식,신평1동,라마77b92a,1077500,1792000,2
중식,양포동,라마80b94a,1080500,1794000,1
중식,양포동,라마82a94a,1082000,1794000,1
중식,양포동,라마82a95a,1082000,1795000,1
중식,양포동,라마82b94a,1082500,1794000,4
중식,양포동,라마82b94b,1082500,1794500,1
중식,양포동,라마83a93b,1083000,1793500,3
중식,양포동,라마83a94b,1083000,1794500,3
중식,원평동,라마74b93a,1074500,1793000,2
중식,원평동,라마75a92b,1075000,1792500,3
중식,원평동,라마75a93a,1075000,1793000,4
중식,원평동,라마76a92a,1076000,1792000,2
중식,원평동,라마76b92a,1076500,1792000,2
중식,인동동,라마82b90a,1082500,1790000,1
중식,인동동,라마83a89b,1083000,1789500,1
중식,인동동,라마83a90a,1083000,1790000,1
중식,인동동,라마83a90b,1083000,1790500,3
중식,인동동,라마83b89a,1083500,1789000,3
중식,인동동,라마83b89b,1083500,1789500,8
중식,인동동,라마84a88b,1084000,1788500,2
중식,인동동,라마84a89a,1084000,1789000,6
중식,인동동,라마84b89a,1084500,1789000,1
중식,인동동,라마87b89b,1087500,1789500,1
중식,임오동,라마76b86a,1076500,1786000,1
중식,임오동,라마76b86b,1076500,1786500,1
중식,임오동,라마77a86a,1077000,1786000,1
중식,임오동,라마77b88a,1077500,1788000,1
중식,임오동,라마78a88a,1078000,1788000,1
중식,장천면,라마89a92b,1089000,1792500,1
중식,진미동,라마81a90b,1081000,1790500,2
중식,해평면,라바78b03a,1078500,1803000,1
중식,해평면,라바80a00b,1080000,1800500,1
중식,형곡1동,라마75a90b,1075000,1790500,3
중식,형곡1동,라마75a91a,1075000,1791000,1
중식,형곡1동,라마75b90b,1075500,1790500,1
중식,형곡2동,라마75a90a,1075000,1790000,2
커피전문점,b' ',라마76b96b,1076500,1796500,1
커피전문점,고아읍,라마74b94b,1074500,1794500,1
커피전문점,고아읍,라마74b95a,1074500,1795000,2
커피전문점,고아읍,라마74b95b,1074500,1795500,4
커피전문점,고아읍,라마75a95a,1075000,1795000,1
커피전문점,고아읍,라마75a95b,1075000,1795500,1
커피전문점,고아읍,라마75b96a,1075500,1796000,5
커피전문점,고아읍,라마76a95b,1076000,1795500,3
커피전문점,고아읍,라마76a96a,1076000,1796000,3
커피전문점,고아읍,라마76a96b,1076000,1796500,2
커피전문점,고아읍,라마76a97a,1076000,1797000,1
커피전문점,고아읍,라마76b95b,1076500,1795500,2
커피전문점,고아읍,라마76b96a,1076500,1796000,1
커피전문점,고아읍,라마76b98b,1076500,1798500,1
커피전문점,고아읍,라마76b99a,1076500,1799000,1
커피전문점,고아읍,라마78a94a,1078000,1794000,1
커피전문점,고아읍,라마78a94b,1078000,1794500,1
커피전문점,고아읍,라바73a03b,1073000,1803500,1
커피전문점,공단동,라마78a88b,1078000,1788500,1
커피전문점,공단동,라마78a89b,1078000,1789500,1
커피전문점,공단동,라마78b88b,1078500,1788500,1
커피전문점,공단동,라마79a90b,1079000,1790500,3
커피전문점,공단동,라마79b89b,1079500,1789500,4
커피전문점,공단동,라마79b90a,1079500,1790000,4
커피전문점,공단동,라마79b90b,1079500,1790500,1
커피전문점,공단동,라마80a90a,1080000,1790000,1
커피전문점,광평동,라마77a90a,1077000,1790000,2
커피전문점,광평동,라마77a90b,1077000,1790500,1
커피전문점,광평동,라마77b89b,1077500,1789500,4
커피전문점,광평동,라마77b90a,1077500,1790000,3
커피전문점,도개면,라바74b11b,1074500,1811500,2
커피전문점,도개면,라바77a10b,1077000,1810500,1
커피전문점,도량동,라마73a93a,1073000,1793000,1
커피전문점,도량동,라마73a94a,1073000,1794000,4
커피전문점,도량동,라마73b93a,1073500,1793000,1
커피전문점,도량동,라마73b94a,1073500,1794000,6
커피전문점,도량동,라마73b95a,1073500,1795000,5
커피전문점,도량동,라마74a93b,1074000,1793500,1
커피전문점,도량동,라마74a94a,1074000,1794000,1
커피전문점,도량동,라마74a94b,1074000,1794500,1
커피전문점,도량동,라마75a94a,1075000,1794000,5
커피전문점,무을면,라바58b09a,1058500,1809000,1
커피전문점,비산동,라마78a91a,1078000,1791000,2
커피전문점,비산동,라마78a91b,1078000,1791500,3
커피전문점,비산동,라마78b92a,1078500,1792000,6
커피전문점,비산동,라마79a92a,1079000,1792000,3
커피전문점,비산동,라마79b91a,1079500,1791000,1
커피전문점,비산동,라마79b92a,1079500,1792000,1
커피전문점,산동읍,라마82b96a,1082500,1796000,2
커피전문점,산동읍,라마83a94a,1083000,1794000,11
커피전문점,산동읍,라마83b94b,1083500,1794500,1
커피전문점,산동읍,라마83b95b,1083500,1795500,5
커피전문점,산동읍,라마83b96a,1083500,1796000,5
커피전문점,산동읍,라마84a94a,1084000,1794000,1
커피전문점,산동읍,라마84a95b,1084000,1795500,3
커피전문점,산동읍,라마84a96a,1084000,1796000,10
커피전문점,산동읍,라마84a96b,1084000,1796500,1
커피전문점,산동읍,라마84a97a,1084000,1797000,1
커피전문점,산동읍,라마84a97b,1084000,1797500,1
커피전문점,산동읍,라마84b94a,1084500,1794000,6
커피전문점,산동읍,라마84b94b,1084500,1794500,1
커피전문점,산동읍,라마84b96a,1084500,1796000,2
커피전문점,산동읍,라마84b96b,1084500,1796500,2
커피전문점,산동읍,라마84b97a,1084500,1797000,2
커피전문점,산동읍,라마84b97b,1084500,1797500,2
커피전문점,산동읍,라마85a94a,1085000,1794000,2
커피전문점,산동읍,라마85a97a,1085000,1797000,1
커피전문점,산동읍,라마85b97a,1085500,1797000,2
커피전문점,산동읍,라마86b98a,1086500,1798000,1
커피전문점,상모사곡동,라마76a88a,1076000,1788000,1
