dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190250,선산읍,제과점/아이스크림,2579769000,214980750.0,197515,183710,7678.234371245387,399.9323646231873,14.419289047333704,6528.662109,0.5839805268025985,1.0,0,카페,1.0,2579769000.0,6528.662109,0.022439476375411983,0.17218658233159884,0,0.08861203652778048,0.05438006989056744,0.0788,낮음,특징 약함
47190250,선산읍,커피전문점,2377788000,198149000.0,309306,268932,7678.234371245387,399.9323646231873,14.419289047333704,6528.662109,0.6281116797335292,19.0,0,카페,19.0,125146736.84210527,343.6137952105263,0.020682006488858547,0.17218658233159884,0,0.19325072186960618,0.002603340883748255,0.0807,낮음,특징 약함
47190253,고아읍,제과점/아이스크림,3087836000,257319666.66666666,255066,239648,14184.649099586784,743.2935188300786,24.68717450941378,12060.654811666667,0.5466085804449583,5.0,0,카페,5.0,617567200.0,2412.1309623333336,0.026860250868317476,0.34279028994584254,0,0.0,0.012990242877188973,0.1169,낮음,특징 약함
47190253,고아읍,커피전문점,8366710000,697225833.3333334,693926,607924,14184.649099586784,743.2935188300786,24.68717450941378,12060.654811666667,0.6134012481771162,32.0,0,카페,32.0,261459687.5,376.89546286458335,0.07279260138598934,0.34279028994584254,0,0.15837104806450342,0.0054786666771571985,0.1523,낮음,특징 약함
47190256,산동읍,제과점/아이스크림,3816888000,318074000.0,301860,267117,11970.93809381705,1940.1956998941725,25.811222775910466,10179.169063666666,0.6046997538626128,2.0,0,카페,2.0,1908444000.0,5089.584531833333,0.03320385217602243,0.28476627189581366,0,0.13773907121576706,0.040219433803210726,0.1202,낮음,특징 약함
47190256,산동읍,커피전문점,5560414000,463367833.3333333,657378,539943,11970.93809381705,1940.1956998941725,25.811222775910466,10179.169063666666,0.6693545379144732,50.0,0,카페,50.0,111208280.0,203.58338127333332,0.04837455853663539,0.28476627189581366,0,0.2910410167786842,0.002309329168170286,0.1366,낮음,특징 약함
47190310,무을면,커피전문점,21429000,3061285.714285714,1614,1295,1240.9544309907099,38.890189383522845,5.684866801873714,1055.6639963333334,0.800970109515875,1.0,0,카페,1.0,21429000.0,1055.6639963333334,0.00017893944587348018,0.0034022364418075787,0,0.6031126366712842,0.0004155642819156364,0.0615,낮음,외부 유입 소비 높음
47190330,도개면,커피전문점,279844000,23320333.333333332,39975,32021,1413.151503958874,89.80744264439902,6.555222809595983,1202.1620618333334,0.7178023932177267,6.0,0,카페,6.0,46640666.666666664,200.3603436388889,0.0024274508441421592,0.007920158730563766,0,0.40591496748868944,0.000947368157568127,0.0442,낮음,특징 약함
47190340,해평면,커피전문점,131358000,10946500.0,8661,7739,2542.272534973273,148.6773083559799,9.871913943663815,2162.412441916667,0.6267399682222291,5.0,0,카페,5.0,26271600.0,432.48248838333336,0.0011354497471341562,0.037533768849975856,0,0.18999827819483212,0.0005177119694241213,0.0308,낮음,특징 약함
47190360,장천면,제과점/아이스크림,21125000,1760416.6666666667,1989,1411,2006.957851505531,200.29681315015657,9.663577651676215,1707.3637104166667,0.7036177773279563,0.0,0,카페,0.5,42250000.0,3414.7274208333333,0.00017629429189606525,0.023500308411455038,0,0.37228204697316736,0.0008547533542350854,0.0445,낮음,특징 약함
47190360,장천면,커피전문점,159201000,13266750.0,9955,7186,2006.957851505531,200.29681315015657,9.663577651676215,1707.3637104166667,0.7426692944833205,4.0,0,카페,4.0,39800250.0,426.84092760416667,0.0013777162675064057,0.023500308411455038,0,0.4648764875067401,0.0008030793986174604,0.0543,낮음,특징 약함
47190510,송정동,제과점/아이스크림,2150092000,179174333.33333334,178458,157480,18810.183211869,2223.84846860524,21.537356695021476,15991.886333333334,0.6112868761976904,2.0,0,카페,2.0,1075046000.0,7995.943166666667,0.018700786159774767,0.4640273755918557,0,0.15335769378851216,0.022640100702356582,0.1664,낮음,특징 약함
47190510,송정동,커피전문점,3446550000,287212500.0,490599,411268,18810.183211869,2223.84846860524,21.537356695021476,15991.886333333334,0.643835891348488,29.0,0,카페,29.0,118846551.72413793,551.4443563218391,0.029981480354680692,0.4640273755918557,0,0.2305341536893252,0.0024704475329293285,0.1761,낮음,특징 약함
