dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_time_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason,rank
4719056500,선주원남동,양식,9635014000,802917833.3333334,334125,280855,24768758.39875,1588396.90875,0.0,0.0,7430627.519625,0.689551486706583,6.0,0,음식점,6.0,1605835666.6666667,1238437.9199375,0.08380571452806013,0.8660174791601268,0,0.3106968173910673,0.13874211231425662,0.3494,낮음,수요인구 높음,1
4719069000,양포동,양식,2873107000,239425583.33333334,128648,109595,28476847.085,2992029.115,0.0,0.0,8543054.1255,0.6719082779324287,5.0,0,음식점,5.0,574621400.0,1708610.8250999998,0.02496779815369091,1.0,0,0.2670766625851707,0.04923407105270833,0.3453,낮음,수요인구 높음,2
4719067000,인동동,양식,3297168000,274764000.0,159311,133131,28046775.34625,2057981.70375,0.0,0.0,8414032.603875,0.6933772881404586,9.0,0,음식점,9.0,366352000.0,934892.5115416667,0.02865771368426999,0.9844604321591927,0,0.32015553053891294,0.031156561216681457,0.3449,낮음,수요인구 높음,3
4719068000,진미동,양식,3582244000,298520333.3333333,85833,69302,20372115.392500002,5463045.98875,0.0,0.0,6111634.61775,0.7815607945517341,2.0,0,음식점,2.0,1791122000.0,3055817.308875,0.031138268037995895,0.70715576816742,0,0.538175860640176,0.15482472220949176,0.3032,낮음,수요인구 높음,4
4719064500,상모사곡동,양식,1413748000,117812333.33333333,106839,91934,17120003.1825,1163679.91125,0.0,0.0,5136000.95475,0.6825511951628447,3.0,0,음식점,3.0,471249333.3333333,1712000.3182499998,0.012269362223977136,0.589648818140671,0,0.29338965945097717,0.04026151170439748,0.2178,낮음,특징 약함,5
4719055100,도량동,양식,1834966000,152913833.33333334,105791,95414,15967336.22625,652945.6175,0.0,0.0,4790200.8678749995,0.6223527955194966,1.0,0,음식점,1.0,1834966000.0,4790200.8678749995,0.01593453973372092,0.5480000773595055,0,0.1445582566646126,0.15863032371048402,0.2098,낮음,특징 약함,6
4719051000,송정동,양식,1870450000,155870833.33333334,107477,92268,13646748.815,1640398.53,0.0,0.0,4094024.6445,0.662156873719523,4.0,0,음식점,4.0,467612500.0,1023506.161125,0.01624329947037925,0.4641514487273293,0,0.24296779629068302,0.039945839357162005,0.1768,낮음,특징 약함,7
4719025300,고아읍,양식,1883922000,156993500.0,106708,90997,10091316.01875,534200.90125,0.0,0.0,3027394.805625,0.6391160414162669,0.0,0,음식점,0.5,3767844000.0,6054789.61125,0.016360524449870316,0.3356847670956975,0,0.1860028368669166,0.32640159042964656,0.1756,낮음,특징 약함,8
4719066000,임오동,양식,1008308000,84025666.66666667,38210,34460,8854230.1425,795952.6975,0.0,0.0,2656269.04275,0.7623607495193836,2.0,0,음식점,2.0,504154000.0,1328134.521375,0.008741475073972816,0.29098575954229405,0,0.49070666457091044,0.04311759346829487,0.1468,낮음,특징 약함,9
4719070000,공단동,양식,282316000,23526333.333333332,23508,19680,8580165.98625,4902404.055,0.0,0.0,2574049.795875,0.7348454348737646,1.0,0,음식점,1.0,282316000.0,2574049.795875,0.0024243434446172144,0.2810831359447547,0,0.42267922694669136,0.023862347008639595,0.1313,낮음,특징 약함,10
4719069000,양포동,일식,2356657000,196388083.33333334,40969,36495,28476847.085,2992029.115,0.0,0.0,8543054.1255,0.661291325827927,4.0,0,음식점,4.0,589164250.0,2135763.531375,0.020473970907687235,1.0,0,0.24082786055072608,0.05049637129421698,0.3409,낮음,수요인구 높음,1
