addr,lon,lat
경상북도 구미시 인의동 687-5 섬계빌딩 1층 101호,128.4258263352,36.0999202842563
경상북도 구미시 송정동 35-17 1층 ,128.342466398344,36.1203412807855
경상북도 구미시 산동읍 봉산리 385 1층 1동 ,128.441991495887,36.1404984209599
경상북도 구미시 인의동 488 1층 1동 ,128.425273117863,36.1067786261499
경상북도 구미시 진평동 5-6 1층 ,128.424650991241,36.0997052891578
경상북도 구미시 선산읍 이문리 113 1층 ,128.297413378291,36.2402091675092
경상북도 구미시 구평동 449-8 구평동종합프라자 1층 B동 102호,128.433786578458,36.0927442730361
경상북도 구미시 송정동 483-5 1층 ,128.347623660407,36.114940691907
경상북도 구미시 구평동 434-9 강동빌딩 1층 B동 ,128.436406566877,36.0938446226447
경상북도 구미시 임수동 92-24 1층 A동 ,128.405553261766,36.1078867192141
"경상북도 구미시 원평동 411-18 1,2층 ",128.330376879331,36.1266743048296
경상북도 구미시 임수동 401-3 2층 ,128.402170113407,36.1119038828808
경상북도 구미시 선기동 458-1 구미칠곡축산농협종합유통센터 2층 1동 ,128.310437622013,36.1395719238537
경상북도 구미시 송정동 27-8 1층 ,128.340213015096,36.1170862759847
경상북도 구미시 신평동 175-9 1층 ,128.364425347766,36.1208401021132
경상북도 구미시 옥계동 639-3 1층 ,128.416537359801,36.1371864574883
경상북도 구미시 옥성면 대원리 86-6 선산휴게소(하행선)1층 ,128.249457121918,36.2760985893565
경상북도 구미시 도량동 229-3 GMG프라자 1층 105호,128.317458667888,36.1388657116028
경상북도 구미시 비산동 76-4 1층 ,128.379768971897,36.12293825554
경상북도 구미시 선산읍 완전리 213-5 1층 ,128.30126090347,36.2415706998946
경상북도 구미시 구평동 241-3 강동문화복지회관 1층 ,128.453851746034,36.0902103540249
경상북도 구미시 도개면 궁기리 180-3 낙동강구미휴게소 1동 ,128.333919767612,36.2949398471945
경상북도 구미시 남통동 99-1 1층 ,128.32675993287,36.1240662450853
경상북도 구미시 산동읍 신당리 0 1층 ,128.430510157506,36.1535653865158
경상북도 구미시 송정동 35-6 1층 ,128.342478116882,36.1194182923995
"경상북도 구미시 원평동 188-34 1,2,3층 ",128.333164690584,36.1318083657831
경상북도 구미시 원평동 964-105 1층 ,128.338872292267,36.1286196355342
경상북도 구미시 거의동 467-3 1층 4동 ,128.3962270826,36.1408151275049
경상북도 구미시 원평동 397-4 3층 ,128.330003557547,36.1268264182557
경상북도 구미시 진평동 536 1층 ,128.420349947681,36.1023538753778
경상북도 구미시 옥계동 618-13 1층 ,128.41670699392,36.1406276617655
경상북도 구미시 산동읍 신당리 0 골드타워 1층 1동 103호,128.430510157506,36.1535653865158
경상북도 구미시 산동읍 신당리 0 1층 110호,128.430510157506,36.1535653865158
경상북도 구미시 봉곡동 36 ,128.31518104847,36.1382303917462
경상북도 구미시 신평동 168-23 1층 ,128.363605388521,36.1206769622847
경상북도 구미시 임은동 374 세이브 마트 1층 ,128.368144053235,36.0890484010434
경상북도 구미시 옥계동 841-1 코스모빌딩 1층 103호,128.420218497268,36.1372482889007
경상북도 구미시 남통동 100-12 1층 ,128.325774083057,36.1240888764761
경상북도 구미시 광평동 88-10 1층 ,128.365969740036,36.1057960258749
경상북도 구미시 상모동 70 화성파크프레지던트2단지 102호,128.357717335025,36.086656603168
"경상북도 구미시 신평동 150-61 1층 109,110,111호 ",128.362322546477,36.1231970815296
경상북도 구미시 옥계동 835-4 1층 ,128.421234677877,36.1377669973129
경상북도 구미시 원평동 435-30 1층 ,128.332322088942,36.1259782688143
"경상북도 구미시 남통동 135-1 1,2층 ",128.323708951409,36.121983222276
경상북도 구미시 옥계동 543 에덴아파트 1층 209동 109호,128.413863521767,36.1478229819328
경상북도 구미시 부곡동 511 1층 ,128.291174598324,36.1515852215774
경상북도 구미시 봉곡동 378-4 명성빌딩 1층 ,128.310714731418,36.1483615815102
경상북도 구미시 옥계동 545 동화타운 상가1동 112호,128.414418590959,36.1468628534668
경상북도 구미시 공단동 201 1층 ,128.378423985875,36.1099381852912
경상북도 구미시 봉곡동 15-9 1층 ,128.312705866894,36.1404312797723
경상북도 구미시 옥성면 대원리 1-1 선산휴게소 1층 25동 ,128.249822855249,36.2776293867567
"경상북도 구미시 고아읍 문성리 632-3 1,2층 1동 ",128.340802074489,36.1596306582686
"경상북도 구미시 도량동 315 1,2층 ",,
경상북도 구미시 원평동 96-3 1층 ,128.33193186233,36.1288502158199
경상북도 구미시 옥계동 906 구미옥계우미린 1층 상가동 107호,128.427318292526,36.1418373011204
경상북도 구미시 황상동 313-5 1층 ,128.419105393144,36.1074163198043
경상북도 구미시 고아읍 원호리 77-2 1층 ,128.339666599467,36.1583503314807
경상북도 구미시 송정동 10-2 1층 ,128.340485235444,36.121176027091
경상북도 구미시 원평동 1046-9 1층 ,128.346686200959,36.1246824561371
경상북도 구미시 진평동 9-1 1층 ,128.425399688128,36.0990025112211
경상북도 구미시 비산동 391-4 지하1층 ,128.377879191901,36.1223346230689
"경상북도 구미시 구평동 551-2 1, 2층 ",128.434924545384,36.0973624691403
경상북도 구미시 옥계동 559-2 1층 ,128.417986162215,36.1469418599183
경상북도 구미시 옥계동 834-1 1층 105호,128.421535885421,36.1380707067025
"경상북도 구미시 산동읍 신당리 1431 1층 101,102호 1동 ",128.43171803195,36.1558542223927
"경상북도 구미시 상모동 478-6 1,2층 1동 ",128.35640582032,36.0824166201797
경상북도 구미시 산동읍 신당리 1447 1층 1동 ,128.432304317169,36.1553242877631
경상북도 구미시 진평동 11-4 1층 ,128.426410461466,36.098074839802
경상북도 구미시 봉곡동 234-10 1층 ,128.311064507731,36.151499032009
경상북도 구미시 진평동 13-1 1층 ,128.427673722906,36.0970069989904
경상북도 구미시 장천면 상장리 889-1 1층 ,128.495098565402,36.125341713789
경상북도 구미시 비산동 458-2 1층 나호,128.374590711998,36.1212076010472
경상북도 구미시 인의동 672-5 2층 ,128.426773359981,36.100115278604
경상북도 구미시 원평동 1008-51 1층 나호,128.332455378659,36.1282582914576
경상북도 구미시 상모동 47-8 1층 ,128.355595812616,36.0898817526292
경상북도 구미시 도량동 639 1층 상가동 303호,128.331893028149,36.1417089039522
경상북도 구미시 송정동 457-2 1층 ,128.34830814244,36.1169484777502
경상북도 구미시 봉곡동 22 1층 상가동 108호,128.314833496333,36.1403645029315
경상북도 구미시 형곡동 144-9 1층 ,128.338731471334,36.1138773909574
"경상북도 구미시 산동읍 신당리 1462 1,2층 102,201호 ",,
경상북도 구미시 도량동 868 도량 롯데캐슬 골드파크 1층 301동 1-6호,128.330129861545,36.1429381889649
경상북도 구미시 형곡동 144-13 1층 ,128.338816693439,36.1132320326226
