dong_code_x,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,year_month,dong_code_y,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190250,선산읍,양식,634010000,52834166.666666664,56375,48708,7678.23437123553,399.9323646245314,14.419289047333704,2691.7078166466354,0.6245021071163258,202301,47190250,7,0,음식점,7,90572857.14285715,384.5296880923765,0.0055091074348169455,0.17225806061081478,0,0.18469212078567,0.026746363632946572,0.0766,낮음,특징 약함
47190250,선산읍,일식,1432402000,119366833.33333333,21308,19937,7678.23437123553,399.9323646245314,14.419289047333704,2691.7078166466354,0.6203769822307824,202301,47190250,4,0,음식점,4,358100500.0,672.9269541616588,0.01245604748197569,0.17225806061081478,0,0.17491110179507896,0.10650873989784067,0.0908,낮음,특징 약함
47190250,선산읍,중식,1809110000,150759166.66666666,81008,75875,7678.23437123553,399.9323646245314,14.419289047333704,2691.7078166466354,0.5845825777614656,202301,47190250,4,0,음식점,4,452277500.0,672.9269541616588,0.015733845720541553,0.17225806061081478,0,0.09003955012442814,0.1345872637814834,0.0879,낮음,특징 약함
47190250,선산읍,패스트푸드,1043801000,86983416.66666667,64398,59038,7678.23437123553,399.9323646245314,14.419289047333704,2691.7078166466354,0.5909069850632023,202301,47190250,3,0,음식점,3,347933666.6666667,897.2359388822118,0.009074766295207868,0.17225806061081478,0,0.1050352531973959,0.10347753617961844,0.0818,낮음,특징 약함
47190250,선산읍,한식,36390028000,3032502333.3333335,1121814,1024488,7678.23437123553,399.9323646245314,14.419289047333704,2691.7078166466354,0.6292165936385999,202301,47190250,24,0,음식점,24,1516251166.6666667,112.15449236027648,0.31662809832040817,0.17225806061081478,0,0.19587056591998606,0.4518070734066248,0.2815,낮음,특징 약함
47190253,고아읍,양식,1883922000,156993500.0,106708,90997,14184.649099170116,743.2935188300786,24.68717450941378,4972.033337062366,0.6391160414162669,202301,47190253,18,0,음식점,18,104662333.33333333,276.22407428124257,0.016384797231588807,0.34299797632160006,0,0.2193429914577088,0.030947088796439794,0.1368,낮음,특징 약함
47190253,고아읍,일식,2593790000,216149166.66666666,44456,41873,14184.649099170116,743.2935188300786,24.68717450941378,4972.033337062366,0.6061615069778081,202301,47190253,4,0,음식점,4,648447500.0,1243.0083342655914,0.022561475401455845,0.34299797632160006,0,0.1412050111269167,0.1930746230120195,0.1561,낮음,특징 약함
47190253,고아읍,중식,4229439000,352453250.0,171096,153367,14184.649099170116,743.2935188300786,24.68717450941378,4972.033337062366,0.6073796129862089,202301,47190253,12,0,음식점,12,352453250.0,414.3361114218638,0.036793526250155674,0.34299797632160006,0,0.1440932432001989,0.10482503321784553,0.1496,낮음,특징 약함
47190253,고아읍,패스트푸드,1002350000,83529166.66666667,80779,73738,14184.649099170116,743.2935188300786,24.68717450941378,4972.033337062366,0.5638827714283221,202301,47190253,2,0,음식점,2,501175000.0,2486.016668531183,0.008714094329688702,0.34299797632160006,0,0.04095856361767357,0.149165872375943,0.1333,낮음,특징 약함
47190253,고아읍,한식,47135056000,3927921333.3333335,1328615,1220140,14184.649099170116,743.2935188300786,24.68717450941378,4972.033337062366,0.5916074934678413,202301,47190253,45,0,음식점,45,1047445688.8888888,110.48962971249702,0.41012235342446984,0.34299797632160006,0,0.1066962177012475,0.31203445584006523,0.3449,낮음,특징 약함
47190256,산동읍,양식,2557131000,213094250.0,155717,127597,11970.938094283001,1940.1956998941725,25.81122277621161,4197.571699831914,0.6531226381380371,202301,47190256,16,0,음식점,16,159820687.5,262.3482312394946,0.022242499415738564,0.2850099770302284,0,0.25255381351289063,0.04739234788147303,0.1279,낮음,특징 약함
47190256,산동읍,일식,1372844000,114403666.66666667,26268,22942,11970.938094283001,1940.1956998941725,25.81122277621161,4197.571699831914,0.6690867587661354,202301,47190256,1,0,음식점,1,1372844000.0,4197.571699831914,0.011937823532676748,0.2850099770302284,0,0.290406089835174,0.4090507575934694,0.1813,낮음,특징 약함
47190256,산동읍,중식,2294019000,191168250.0,93784,76869,11970.938094283001,1940.1956998941725,25.81122277621161,4197.571699831914,0.7042805362172477,202301,47190256,7,0,음식점,7,327717000.0,599.6530999759877,0.019953118648285945,0.2850099770302284,0,0.3738535041925744,0.09745001186001126,0.1465,낮음,특징 약함
47190256,산동읍,패스트푸드,1275642000,106303500.0,109703,92107,11970.938094283001,1940.1956998941725,25.81122277621161,4197.571699831914,0.6669086485096706,202301,47190256,3,0,음식점,3,425214000.0,1399.190566610638,0.011092052950727125,0.2850099770302284,0,0.28524160672903953,0.12651838145219954,0.138,낮음,특징 약함
47190256,산동읍,한식,50456225000,4204685416.6666665,1430876,1171368,11970.938094283001,1940.1956998941725,25.81122277621161,4197.571699831914,0.6872164397941201,202301,47190256,40,0,음식점,40,1261405625.0,104.93929249579784,0.43902039089163153,0.2850099770302284,0,0.3333930924952684,0.37582581865942144,0.3728,검토 가능,특징 약함
47190310,무을면,양식,3700000,528571.4285714285,244,193,1240.9544309907099,38.890189383522845,5.684866801873714,436.03951088731054,0.7182252441811422,202406,47190310,2,0,음식점,2,1850000.0,218.01975544365527,2.4676502236673466e-05,0.0033643597120839776,0,0.40691758278352613,0.000293972249586117,0.0418,낮음,특징 약함
