dong_code_x,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,amount_growth_24_vs_23,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,year_month,dong_code_y,store_count,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190250,선산읍,양식,1241330000,51722083.333333336,108103,94618,0.043947177764605154,8031.300732843181,409.4489950091034,14.138298024244046,2815.1967459023867,0.6163407353102758,202301,47190250,7,음식점,7,177332857.14285713,402.17096370034096,0.005870828663478121,0.1747444754807696,0.2761521997498535,0.14679782371217912,0.02640194348900471,0.1058,낮음,특징 약함
47190250,선산읍,일식,2881047000,120043625.0,42609,40339,-0.011212546897272968,8031.300732843181,409.4489950091034,14.138298024244046,2815.1967459023867,0.6044022395093985,202301,47190250,4,음식점,4,720261750.0,703.7991864755967,0.013645795600651909,0.1747444754807696,0.2615609640748923,0.1202483525110884,0.10796876227700083,0.1159,낮음,특징 약함
47190250,선산읍,중식,3312411000,138017125.0,150984,141559,0.20342499605867354,8031.300732843181,409.4489950091034,14.138298024244046,2815.1967459023867,0.5856725840957842,202301,47190250,4,음식점,4,828102750.0,703.7991864755967,0.015691173454200437,0.1747444754807696,0.3183383862459147,0.07859633409067995,0.12417023436780517,0.1234,낮음,특징 약함
47190250,선산읍,패스트푸드,2101022000,87542583.33333333,130337,119302,-0.01269365629324427,8031.300732843181,409.4489950091034,14.138298024244046,2815.1967459023867,0.5885950281955382,202301,47190250,3,음식점,3,700340666.6666666,938.3989153007956,0.009947188715946204,0.1747444754807696,0.26116917067147183,0.08509542298406607,0.1049759221174735,0.1106,낮음,특징 약함
47190250,선산읍,한식,69966000000,2915250000.0,2223234,2027454,0.08381160193962515,8031.300732843181,409.4489950091034,14.138298024244046,2815.1967459023867,0.6277973712142862,202301,47190250,24,음식점,24,2915250000.0,117.29986441259945,0.3317392785351202,0.1747444754807696,0.28669741569771945,0.1722757088719291,0.43773240386061396,0.2857,낮음,특징 약함
47190253,고아읍,양식,3528944000,147039333.33333334,201912,172882,0.14522602129333226,15446.034026574758,774.4095981638217,24.342840790544923,5413.414761538328,0.6361781771136926,202301,47190253,18,음식점,18,196052444.44444445,300.7452645299071,0.016717897526590402,0.36127866834170697,0.302943186903502,0.19091339728589757,0.02921427712109308,0.1651,낮음,특징 약함
47190253,고아읍,일식,5584094000,232670583.33333334,93590,88209,-0.13259989619784476,15446.034026574758,774.4095981638217,24.342840790544923,5413.414761538328,0.6109846480892852,202301,47190253,4,음식점,4,1396023500.0,1353.353690384582,0.026462703063724377,0.36127866834170697,0.22945073451046577,0.13488666791868542,0.2094917000525972,0.1789,낮음,특징 약함
47190253,고아읍,중식,8208198000,342008250.0,336287,304426,0.06300457001793776,15446.034026574758,774.4095981638217,24.342840790544923,5413.414761538328,0.601506367572012,202301,47190253,12,음식점,12,684016500.0,451.11789679486066,0.03890529031488143,0.36127866834170697,0.2811933942703681,0.11380835622629346,0.10252346404813403,0.1729,낮음,특징 약함
47190253,고아읍,패스트푸드,2053316000,85554833.33333333,166785,151139,-0.046258394657867144,15446.034026574758,774.4095981638217,24.342840790544923,5413.414761538328,0.5694493826355276,202301,47190253,2,음식점,2,1026658000.0,2706.707380769164,0.00972098347888102,0.36127866834170697,0.2522903916193875,0.04251830322795388,0.15400014452588673,0.1589,낮음,특징 약함
47190253,고아읍,한식,92545332000,3856055500.0,2644622,2441340,0.03798215188121737,15446.034026574758,774.4095981638217,24.342840790544923,5413.414761538328,0.5889988916829633,202301,47190253,45,음식점,45,2056562933.3333333,120.29810581196284,0.4388026070018435,0.36127866834170697,0.27457428943566536,0.08599355640115665,0.3087277159836967,0.34,낮음,특징 약함
47190256,산동읍,양식,5276507000,219854458.33333334,306762,248872,-0.059662584357587915,12615.183305059225,1978.8944205945054,25.818657616460882,4423.059754055667,0.6579149557551532,202301,47190256,16,음식점,16,329781687.5,276.4412346284792,0.02500423263540993,0.2901779866995816,0.24874462172768821,0.23925281861429784,0.04930506447552202,0.1499,낮음,특징 약함
