dong_code_x,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,year_month,dong_code_y,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason,rank
47190670,인동동,제과점/아이스크림,4292987000,357748916.6666667,370090,334596,42706.992441079376,2893.6420865111463,22.22912199512004,14954.116090976315,0.6106445665901187,202301,47190670,11,0,카페,11,390271545.45454544,1359.465099179665,0.0446969601768177,1.0,0,0.1269043703897378,0.11722972322393067,0.3504,검토 가능,수요인구 높음,1
47190690,양포동,제과점/아이스크림,3564340000,297028333.3333333,323609,292203,40731.0162041068,3991.390483349422,22.43747926670795,14262.586915217393,0.5919477952825202,202301,47190690,11,0,카페,11,324030909.09090906,1296.5988104743085,0.0371044097160288,0.9525792179962586,0,0.0849784900353158,0.09715340179958541,0.3255,낮음,수요인구 높음,2
47190565,선주원남동,제과점/아이스크림,4865010000,405417500.0,383641,345203,35957.81516518449,2165.2975476968372,26.75088420022828,12593.260573074638,0.6140085784275024,202301,47190565,10,0,카페,10,486501000.0,1259.3260573074638,0.050657478084984275,0.8381071706282218,0,0.1344478737831655,0.146395105170722,0.3096,낮음,수요인구 높음,3
47190680,진미동,제과점/아이스크림,2290350000,190862500.0,176232,155380,29443.03247494437,9129.325876347228,27.704411437150924,10313.372689661675,0.6443936977300813,202301,47190680,5,0,카페,5,458070000.0,2062.674537932335,0.02382934873102446,0.6817665994677247,0,0.20258385595229145,0.13777819075459022,0.2562,낮음,수요인구 높음,4
47190645,상모사곡동,제과점/아이스크림,2635306000,219608833.33333334,183129,168912,24534.15369322134,1594.9743460240372,19.475116479204427,8592.79632757123,0.6148403534691802,202301,47190645,8,0,카페,8,329413250.0,1074.0995409464037,0.027423813316416145,0.5637801435847332,0,0.13631305683030492,0.09878469056790455,0.2099,낮음,특징 약함,5
47190551,도량동,제과점/아이스크림,1583269000,131939083.33333333,146635,136756,22153.229162813044,905.5644230013382,22.0096099347617,7760.233089964993,0.5654554002793187,202301,47190551,6,0,카페,6,263878166.66666666,1293.3721816608322,0.01646151743224044,0.506688120313949,0,0.025571602881761794,0.07892220932076599,0.1738,낮음,특징 약함,6
47190510,송정동,제과점/아이스크림,2434921000,202910083.33333334,196858,174853,15973.64199702973,1867.941650401577,24.32283136733083,5598.071548370604,0.614298810679383,202301,47190510,5,0,카페,5,486984200.0,1119.614309674121,0.02533578821772613,0.35842049153560057,0,0.13509869431614124,0.14654155422442655,0.1544,낮음,특징 약함,7
47190253,고아읍,제과점/아이스크림,3008179000,250681583.33333334,256799,241611,16707.4189539794,805.5256774975647,23.998507071676062,5854.796186014292,0.5540517897407364,202301,47190253,8,0,카페,8,376022375.0,731.8495232517865,0.031309174908470655,0.3760250749768275,0,0.0,0.11291106111891533,0.1438,낮음,특징 약함,8
47190256,산동읍,제과점/아이스크림,2359397000,196616416.66666666,183612,163459,13259.428515835449,2017.5931412948385,25.826092456710146,4648.547808279421,0.5947905377415853,202301,47190256,3,0,카페,3,786465666.6666666,1549.5159360931402,0.02454882308783385,0.29330804239442587,0,0.09135309227312369,0.23730889154932838,0.1438,낮음,특징 약함,9
47190660,임오동,제과점/아이스크림,823257000,68604750.0,64937,60862,12521.340162109356,973.9957238174876,21.235175044040044,4388.839609251486,0.6958742396946692,202301,47190660,2,0,카페,2,411628500.0,2194.419804625743,0.00854214157423911,0.2754988648175402,0,0.31802448511113124,0.12370262426530798,0.1369,낮음,특징 약함,10
47190670,인동동,커피전문점,5278322000,439860166.6666667,844396,709541,42706.992441079376,2893.6420865111463,22.22912199512004,14954.116090976315,0.6775984558615948,202301,47190670,20,0,카페,20,263916100.0,747.7058045488158,0.054964216760981816,1.0,0,0.2770426324819901,0.07893370621805598,0.3643,검토 가능,수요인구 높음,1
47190690,양포동,커피전문점,6418277000,534856416.6666667,867997,731681,40731.0162041068,3991.390483349422,22.43747926670795,14262.586915217393,0.644062638047589,202301,47190690,18,0,카페,18,356570944.4444444,792.3659397342996,0.06684262408377134,0.9525792179962586,0,0.20184148346401576,0.10701568943418553,0.3521,검토 가능,수요인구 높음,2
