dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,amount_growth_24_vs_23,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190250,선산읍,양식,1241330000,51722083.333333336,108103,94618,0.043947177764605154,8031.30073284811,409.4489950084314,14.138298024300068,6828.726367583334,0.6163407353102758,3.0,음식점,3.0,413776666.6666667,2276.242122527778,0.005870828663478121,0.17467193181359844,0.2761521997498535,0.14679782371217912,0.004427776321175556,0.1025,낮음,특징 약함
47190250,선산읍,일식,2881047000,120043625.0,42609,40339,-0.011212546897272968,8031.30073284811,409.4489950084314,14.138298024300068,6828.726367583334,0.6044022395093985,3.0,음식점,3.0,960349000.0,2276.242122527778,0.013645795600651909,0.17467193181359844,0.2615609640748923,0.1202483525110884,0.010303457474274037,0.1012,낮음,특징 약함
47190250,선산읍,제과점/아이스크림,5069473000,211228041.66666666,392795,362738,0.03617498305019392,8031.30073284811,409.4489950084314,14.138298024300068,6828.726367583334,0.5869731469957092,1.0,카페,1.0,5069473000.0,6828.726367583334,0.024022549512730324,0.17467193181359844,0.2740962445128608,0.08148859605003256,0.054476755261412865,0.1095,낮음,특징 약함
47190250,선산읍,중식,3312411000,138017125.0,150984,141559,0.20342499605867354,8031.30073284811,409.4489950084314,14.138298024300068,6828.726367583334,0.5856725840957842,10.0,음식점,10.0,331241100.0,682.8726367583333,0.015691173454200437,0.17467193181359844,0.3183383862459147,0.07859633409067995,0.0035405146653099957,0.1053,낮음,특징 약함
47190250,선산읍,커피전문점,4551382000,189640916.66666666,574465,497048,0.09394302707865407,8031.30073284811,409.4489950084314,14.138298024300068,6828.726367583334,0.6290204144242503,19.0,카페,19.0,239546421.0526316,359.4066509254386,0.02156594243025981,0.17467193181359844,0.28937745104657187,0.17499557836153798,0.0025547920736728987,0.1125,낮음,특징 약함
47190250,선산읍,패스트푸드,2101022000,87542583.33333333,130337,119302,-0.01269365629324427,8031.30073284811,409.4489950084314,14.138298024300068,6828.726367583334,0.5885950281955382,21.0,음식점,21.0,100048666.66666667,325.17744607539686,0.009947188715946204,0.17467193181359844,0.26116917067147183,0.08509542298406607,0.0010551839223665912,0.095,낮음,특징 약함
47190250,선산읍,한식,69966000000,2915250000.0,2223234,2027454,0.08381160193962515,8031.30073284811,409.4489950084314,14.138298024300068,6828.726367583334,0.6277973712142862,122.0,음식점,122.0,573491803.2786885,55.97316694740437,0.3317392785351202,0.17467193181359844,0.28669741569771945,0.1722757088719291,0.006144722388190424,0.2209,낮음,특징 약함
47190253,고아읍,양식,3528944000,147039333.33333334,201912,172882,0.14522602129333226,15446.03402678309,774.4095981631389,24.342840790544923,13132.780349583334,0.6361781771136926,0.0,음식점,0.5,7057888000.0,26265.56069916667,0.016717897526590402,0.3610800377836362,0.302943186903502,0.19091339728589757,0.07585232044742664,0.172,낮음,특징 약함
47190253,고아읍,일식,5584094000,232670583.33333334,93590,88209,-0.13259989619784476,15446.03402678309,774.4095981631389,24.342840790544923,13132.780349583334,0.6109846480892852,10.0,음식점,10.0,558409400.0,1313.2780349583334,0.026462703063724377,0.3610800377836362,0.22945073451046577,0.13488666791868542,0.005982585764575457,0.1483,낮음,특징 약함
47190253,고아읍,제과점/아이스크림,6096015000,254000625.0,511865,481259,0.026480139645945273,15446.03402678309,774.4095981631389,24.342840790544923,13132.780349583334,0.5503301850928474,5.0,카페,5.0,1219203000.0,2626.5560699166667,0.02889005415506815,0.3610800377836362,0.27153169681414835,0.0,0.013086151504775923,0.1431,낮음,특징 약함
47190253,고아읍,중식,8208198000,342008250.0,336287,304426,0.06300457001793776,15446.03402678309,774.4095981631389,24.342840790544923,13132.780349583334,0.601506367572012,14.0,음식점,14.0,586299857.1428572,938.0557392559524,0.03890529031488143,0.3610800377836362,0.2811933942703681,0.11380835622629346,0.006282409636717272,0.1584,낮음,특징 약함
47190253,고아읍,커피전문점,14497102000,604045916.6666666,1265367,1112308,0.36479200677542317,15446.03402678309,774.4095981631389,24.342840790544923,13132.780349583334,0.6094277338635227,32.0,카페,32.0,453034437.5,410.3993859244792,0.06872508279801112,0.3610800377836362,0.36102431511820543,0.13142431804740487,0.004849799409668404,0.1823,낮음,특징 약함
47190253,고아읍,패스트푸드,2053316000,85554833.33333333,166785,151139,-0.046258394657867144,15446.03402678309,774.4095981631389,24.342840790544923,13132.780349583334,0.5694493826355276,28.0,음식점,28.0,73332714.28571428,469.0278696279762,0.00972098347888102,0.3610800377836362,0.2522903916193875,0.04251830322795388,0.0007679860378075391,0.1359,낮음,특징 약함
47190253,고아읍,한식,92545332000,3856055500.0,2644622,2441340,0.03798215188121737,15446.03402678309,774.4095981631389,24.342840790544923,13132.780349583334,0.5889988916829633,126.0,음식점,126.0,734486761.9047619,104.2284154728836,0.4388026070018435,0.3610800377836362,0.27457428943566536,0.08599355640115665,0.007875426608753648,0.2948,낮음,특징 약함
47190256,산동읍,양식,5276507000,219854458.33333334,306762,248872,-0.059662584357587915,12615.18330482625,1978.8944205945054,25.818657616310304,10726.778608916668,0.6579149557551532,4.0,음식점,4.0,1319126750.0,2681.694652229167,0.02500423263540993,0.2899356236147717,0.24874462172768821,0.23925281861429784,0.014160337040368816,0.1446,낮음,특징 약함
47190256,산동읍,일식,2000034000,83334750.0,49274,42177,1.1888805625089687,12615.18330482625,1978.8944205945054,25.818657616310304,10726.778608916668,0.6751670309442207,8.0,음식점,8.0,250004250.0,1340.8473261145834,0.009468338791812157,0.2899356236147717,0.5790179763892672,0.2776189143964434,0.002667214281496042,0.1908,낮음,특징 약함
47190256,산동읍,제과점/아이스크림,6176285000,257345208.33333334,485472,430576,0.617738769694121,12615.18330482625,1978.8944205945054,25.818657616310304,10726.778608916668,0.599745145802099,2.0,카페,2.0,3088142500.0,5363.389304458334,0.02927066653881909,0.2899356236147717,0.4279355597552915,0.10989165621324798,0.03317734882071147,0.1629,낮음,특징 약함
47190256,산동읍,중식,4571320000,190471666.66666666,193313,158825,0.007341146383372246,12615.18330482625,1978.8944205945054,25.818657616310304,10726.778608916668,0.7076939943158168,11.0,음식점,11.0,415574545.45454544,975.161691719697,0.021660481482299505,0.2899356236147717,0.26646891662466166,0.34995413080031124,0.00444710361212179,0.1557,낮음,특징 약함
47190256,산동읍,커피전문점,9791612000,407983833.3333333,1207917,996671,0.31414648995390904,12615.18330482625,1978.8944205945054,25.818657616310304,10726.778608916668,0.6674856628051814,50.0,카페,50.0,195832240.0,214.53557217833335,0.04641328803513321,0.2899356236147717,0.34762720923428786,0.26053667341785924,0.002084862342382532,0.1672,낮음,특징 약함
47190256,산동읍,패스트푸드,2381579000,99232458.33333333,213433,180642,0.153449066266885,12615.18330482625,1978.8944205945054,25.818657616310304,10726.778608916668,0.6572859409996449,21.0,음식점,21.0,113408523.8095238,510.79898137698416,0.011277492298206232,0.2899356236147717,0.30511840420036856,0.23785398165736704,0.0011988030849825312,0.1462,낮음,특징 약함
47190256,산동읍,한식,95800090000,3991670416.6666665,2748807,2248181,0.11274645423366535,12615.18330482625,1978.8944205945054,25.818657616310304,10726.778608916668,0.6881097632262748,109.0,음식점,109.0,878899908.2568808,98.41081292584099,0.45423553587829096,0.2899356236147717,0.29435146494525527,0.30640166087616094,0.009427875480627509,0.3077,낮음,특징 약함
47190310,무을면,양식,3700000,528571.4285714285,244,193,0.0,1187.7935871707305,37.104703649964975,5.60245055431544,1010.4649166999999,0.7182252441811422,0.0,음식점,0.5,7400000.0,2020.9298333999998,2.418242378385192e-06,0.0026284975101442207,0.26452698530319874,0.37337409255046755,5.9205912881350644e-05,0.0777,낮음,특징 약함
47190310,무을면,중식,654136000,27255666.666666668,25548,22818,-0.10384370108412082,1187.7935871707305,37.104703649964975,5.60245055431544,1010.4649166999999,0.6352911750679409,1.0,음식점,1.0,654136000.0,1010.4649166999999,0.0030865592220398574,0.0026284975101442207,0.23705752411268974,0.18894083427111102,0.007011651718280024,0.0572,낮음,특징 약함
47190310,무을면,커피전문점,21429000,3061285.714285714,1614,1295,0.0,1187.7935871707305,37.104703649964975,5.60245055431544,1010.4649166999999,0.800970109515875,1.0,카페,1.0,21429000.0,1010.4649166999999,8.648298576346572e-05,0.0026284975101442207,0.26452698530319874,0.5573865892572298,0.00021001839618819916,0.0961,낮음,특징 약함
47190310,무을면,한식,2267211000,94467125.0,59333,52315,0.011968635023631997,1187.7935871707305,37.104703649964975,5.60245055431544,1010.4649166999999,0.6689158586768785,10.0,음식점,10.0,226721100.0,101.04649167,0.010735199074027492,0.0026284975101442207,0.2676930122441944,0.26371722017524485,0.002416919201967505,0.0713,낮음,특징 약함
47190320,옥성면,양식,3785000,344090.9090909091,289,283,-1.0,1134.0786198984313,69.85351767244069,9.571585901198128,965.4025647833333,0.5993759535346119,2.0,음식점,2.0,1892500.0,482.70128239166667,2.821282774782724e-06,0.0012960235663414482,0.0,0.1090706265260244,0.0,0.0112,낮음,특징 약함
47190320,옥성면,커피전문점,35871000,2989250.0,2509,1960,-1.0,1134.0786198984313,69.85351767244069,9.571585901198128,965.4025647833333,0.7106341735153627,4.0,카페,4.0,8967750.0,241.35064119583333,0.00015496191993726757,0.0012960235663414482,0.0,0.3564926599656567,7.605930732887448e-05,0.036,낮음,특징 약함
47190320,옥성면,한식,44460382000,1852515916.6666667,5595731,3305511,0.003622261953829477,1134.0786198984313,69.85351767244069,9.571585901198128,965.4025647833333,0.9683564119395629,9.0,음식점,9.0,4940042444.444445,107.26695164259259,0.21080052101648458,0.0012960235663414482,0.26548517133782373,0.9296292812828212,0.053085370023753846,0.2149,낮음,외부 유입 소비 높음
47190330,도개면,양식,63774000,2657250.0,9214,8185,0.04129057038601882,1431.0074773177382,85.22800537138686,6.490991061841587,1217.3300044166667,0.7166336251562955,1.0,음식점,1.0,63774000.0,1217.3300044166667,0.0002872682279452715,0.008745407248337129,0.27544945540886184,0.3698345642742025,0.0006652293595946074,0.0807,낮음,특징 약함
47190330,도개면,중식,1299072000,54128000.0,47592,42242,-0.13190144348991512,1431.0074773177382,85.22800537138686,6.490991061841587,1217.3300044166667,0.7118003054154567,1.0,음식점,1.0,1299072000.0,1217.3300044166667,0.0061446211172285475,0.008745407248337129,0.22963549409967127,0.35908596701326173,0.013944747429591283,0.0768,낮음,특징 약함
47190330,도개면,커피전문점,551585000,22982708.333333332,81172,65328,0.029818834846416255,1431.0074773177382,85.22800537138686,6.490991061841587,1217.3300044166667,0.7179754083141144,6.0,카페,6.0,91930833.33333333,202.88833406944445,0.0026002980962638186,0.008745407248337129,0.2724148717903752,0.37281849406743545,0.0009679167897077336,0.0814,낮음,특징 약함
47190330,도개면,한식,38628316000,1609513166.6666667,3893174,2113027,0.6645819065966418,1431.0074773177382,85.22800537138686,6.490991061841587,1217.3300044166667,0.9231058348372949,20.0,음식점,20.0,1931415800.0,60.86650022083334,0.1831468952228779,0.008745407248337129,0.4403268335422604,0.8289986060581316,0.020742476332698358,0.2183,낮음,외부 유입 소비 높음
47190340,해평면,양식,28586000,1191083.3333333333,1903,1545,0.48422699226557747,2568.7740721839814,135.19640168265366,9.570051083135011,2184.893469041667,0.6723489393955124,0.0,음식점,0.5,57172000.0,4369.786938083334,0.00012041898714013791,0.03735583370749207,0.39261809176964724,0.27135189033726753,0.0005942575145028821,0.0955,낮음,특징 약함
47190340,해평면,중식,988414000,41183916.666666664,31739,28157,0.13899829471187555,2568.7740721839814,135.19640168265366,9.570051083135011,2184.893469041667,0.6245290389541823,2.0,음식점,2.0,494207000.0,1092.4467345208334,0.004671589076474848,0.03735583370749207,0.30129578516561667,0.16500741522233478,0.005292406608665584,0.0735,낮음,특징 약함
47190340,해평면,커피전문점,239131000,9963791.666666666,15668,13670,0.218839598044037,2568.7740721839814,135.19640168265366,9.570051083135011,2184.893469041667,0.6352321815674852,5.0,카페,5.0,47826200.0,436.97869380833333,0.0011187500490168246,0.03735583370749207,0.3224159644387516,0.18880964134132128,0.0004937896759905758,0.077,낮음,특징 약함
47190340,해평면,한식,13895345000,578972708.3333334,394869,335999,0.13040989172512307,2568.7740721839814,135.19640168265366,9.570051083135011,2184.893469041667,0.6662247654752176,22.0,음식점,22.0,631606590.9090909,99.31333950189395,0.06587176068254066,0.03735583370749207,0.2990239208149621,0.25773262189346646,0.006769459392922843,0.104,낮음,특징 약함
47190360,장천면,양식,60564000,2523500.0,2791,2250,0.329026303645593,2097.354111310622,211.84602492308338,9.579183676670626,1784.1878721249998,0.6608343911529059,0.0,음식점,0.5,121128000.0,3568.3757442499996,0.0002720475259166118,0.025507145294273264,0.3515633214920223,0.24574521659381407,0.0012817878575332338,0.084,낮음,특징 약함
47190360,장천면,제과점/아이스크림,36142000,1505916.6666666667,3922,3146,0.4067390291003529,2097.354111310622,211.84602492308338,9.579183676670626,1784.1878721249998,0.6790291730933483,0.0,카페,0.5,72284000.0,3568.3757442499996,0.00015624690755401734,0.025507145294273264,0.3721204344762651,0.28620775452111363,0.0007567123044189912,0.091,낮음,특징 약함
47190360,장천면,중식,1931338000,80472416.66666667,84450,65451,-0.025592269772824392,2097.354111310622,211.84602492308338,9.579183676670626,1784.1878721249998,0.7333943536423998,2.0,음식점,2.0,965669000.0,892.0939360624999,0.009142606285095395,0.025507145294273264,0.2577571393331273,0.4071079767436721,0.010360647752354615,0.0905,낮음,특징 약함
