dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,amount_growth_24_vs_23,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason,rank
47190565,선주원남동,양식,15967067000,665294458.3333334,577848,485796,0.5216256086296183,34924.23960011107,2189.070727388618,26.859018508625724,29689.6325125,0.6856720000706802,12.0,음식점,12.0,1330588916.6666667,2474.136042708333,0.07569514487201699,0.8506588804343556,0.4025110350109378,0.30098043162131766,0.014283555931171938,0.3318,낮음,수요인구 높음,1
47190670,인동동,양식,6816740000,284030833.3333333,338720,283674,-0.06319063795256924,40866.7865658653,2841.442369447139,22.438382147107323,34740.13433791667,0.6918366665419633,9.0,음식점,9.0,757415555.5555556,3860.0149264351858,0.03230748109264005,1.0,0.24781135634621967,0.3146897495851129,0.008121912339005732,0.3312,낮음,수요인구 높음,2
47190690,양포동,양식,5267766000,219490250.0,260611,220381,0.19979796705919298,39993.653595109245,4081.2298336596323,22.810439389922948,33998.02712208333,0.6659304483180543,7.0,음식점,7.0,752538000.0,4856.861017440476,0.0249627858577051,0.9780562157422542,0.31737893919907484,0.2570781035170793,0.008069478361829849,0.3278,낮음,수요인구 높음,3
47190680,진미동,양식,7031394000,292974750.0,182536,146032,0.038587478074308165,28684.342816146924,8317.457238839264,27.629095692309605,24385.83575833333,0.7839476385906745,8.0,음식점,8.0,878924250.0,3048.2294697916664,0.03332529560144377,0.6938279411344701,0.2747344145486487,0.519531099827246,0.009428137155638403,0.2797,낮음,수요인구 높음,4
47190645,상모사곡동,양식,2776776000,115699000.0,213260,185753,0.03721126785363177,24051.67057336895,1604.1845587222215,19.566057643169106,20446.854894583335,0.6738086083016475,6.0,음식점,6.0,462796000.0,3407.8091490972224,0.013151378833913473,0.5773540079542673,0.27437036980782975,0.27459798081909453,0.004954736716787944,0.2183,낮음,특징 약함,5
47190551,도량동,양식,3650073000,152086375.0,209950,189574,0.010940952792314723,22078.523394552427,902.019233998892,22.02356757866502,18770.048421666666,0.6266428222691146,0.0,음식점,0.5,7300146000.0,37540.09684333333,0.01729224905806377,0.5277715774124002,0.26742116256169435,0.16970816062453334,0.07845660661044257,0.2068,낮음,특징 약함,6
47190583,형곡2동,양식,1413345000,58889375.0,72662,63113,1.4105157236346788,12458.68742171004,788.2809051720455,17.18509709814436,10592.462073375,0.641413949604298,0.0,음식점,0.5,2826690000.0,21184.92414675,0.006686463884493668,0.28596394268337905,0.63764645739904,0.20255699068939617,0.03036672077938395,0.1943,낮음,소비 성장률 높음,7
47190600,신평2동,양식,81911000,3412958.3333333335,3154,2730,2.7803326524657135,1082.9253183581955,89.03443281011835,7.24261045481596,921.5729121958333,0.6784139299416231,0.0,음식점,0.5,163822000.0,1843.1458243916666,0.0003732675652330602,0.0,1.0,0.28483954359983515,0.001740750589182146,0.1789,낮음,소비 성장률 높음,8
47190510,송정동,양식,3689525000,153730208.33333334,203153,174573,0.028242375932823,17391.912604449364,2045.8950595034087,22.930094031106076,14786.565227500001,0.6553821964958195,4.0,음식점,4.0,922381250.0,3696.6413068750003,0.017479316701812894,0.40998172987805137,0.271997855866508,0.23362033189766848,0.009895302177169924,0.1743,낮음,특징 약함,9
47190253,고아읍,양식,3528944000,147039333.33333334,201912,172882,0.14522602129333226,15446.03402678309,774.4095981631389,24.342840790544923,13132.780349583334,0.6361781771136926,0.0,음식점,0.5,7057888000.0,26265.56069916667,0.016717897526590402,0.3610800377836362,0.302943186903502,0.19091339728589757,0.07585232044742664,0.172,낮음,특징 약함,10
