dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_time_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason,rank
4719068000,진미동,제과점/아이스크림,5764156000,480346333.3333333,612073,514824,20372115.392500002,5463045.98875,0.0,0.0,6111634.61775,0.6623772332098183,0.0,0,카페,0.5,11528312000.0,12223269.2355,0.05012391155427506,0.70715576816742,0,0.24351260167176034,1.0,0.4091,검토 가능,수요인구 높음 + 공급 대비 소비 부족,1
4719056500,선주원남동,제과점/아이스크림,16837337000,1403111416.6666667,1456733,1235885,24768758.39875,1588396.90875,0.0,0.0,7430627.519625,0.6686181748409549,7.0,0,카페,7.0,2405333857.142857,1061518.2170892856,0.14647585748849953,0.8660174791601268,0,0.2589423822501965,0.20813750310243295,0.3828,검토 가능,수요인구 높음,2
4719067000,인동동,제과점/아이스크림,10031767000,835980583.3333334,1276624,1082309,28046775.34625,2057981.70375,0.0,0.0,8414032.603875,0.6472245813437305,22.0,0,카페,22.0,455989409.09090906,382456.02744886366,0.08725801279765776,0.9844604321591927,0,0.20604997066288971,0.03893697036232106,0.361,검토 가능,수요인구 높음,3
4719069000,양포동,제과점/아이스크림,9165881000,763823416.6666666,1120539,971750,28476847.085,2992029.115,0.0,0.0,8543054.1255,0.6165417298455821,13.0,0,카페,13.0,705067769.2307693,657158.009653846,0.07972361043782981,1.0,0,0.13019127911942202,0.06055664423361356,0.358,검토 가능,수요인구 높음,4
4719064500,상모사곡동,제과점/아이스크림,7191885000,599323750.0,807312,712982,17120003.1825,1163679.91125,0.0,0.0,5136000.95475,0.6472486972020711,11.0,0,카페,11.0,653807727.2727273,466909.17770454544,0.0625471228624551,0.589648818140671,0,0.20610959346096236,0.05610734005022582,0.2341,낮음,특징 약함,5
4719058300,형곡2동,제과점/아이스크림,3619233000,301602750.0,316277,282493,8565501.754999999,562955.22875,0.0,0.0,2569650.5265,0.6096773564376913,0.0,0,카페,0.5,7238466000.0,5139301.053,0.03146012335022831,0.2805532805838678,0,0.11322015813284114,0.6276470126670527,0.2038,낮음,공급 대비 소비 부족,6
4719055100,도량동,제과점/아이스크림,3401229000,283435750.0,362715,329732,15967336.22625,652945.6175,0.0,0.0,4790200.8678749995,0.5889573262248259,11.0,0,카페,11.0,309202636.3636364,435472.8061704545,0.029563187896771467,0.5480000773595055,0,0.06199302949442439,0.026196071662003526,0.1878,낮음,특징 약함,7
4719051000,송정동,제과점/아이스크림,5596642000,466386833.3333333,669057,568748,13646748.815,1640398.53,0.0,0.0,4094024.6445,0.6313528775214857,9.0,0,카페,9.0,621849111.1111112,454891.6271666667,0.04866630873253615,0.4641514487273293,0,0.16680959287096248,0.0533333742251578,0.1858,낮음,특징 약함,8
4719025300,고아읍,제과점/아이스크림,11454546000,954545500.0,948992,847572,10091316.01875,534200.90125,0.0,0.0,3027394.805625,0.5950972665597242,8.0,0,카페,8.0,1431818250.0,378424.350703125,0.09963815227919878,0.3356847670956975,0,0.07717309970362421,0.12363762955571572,0.1718,낮음,특징 약함,9
4719025600,산동읍,제과점/아이스크림,9377302000,781441833.3333334,959238,807060,8587962.97,1397434.31375,0.0,0.0,2576388.891,0.6430019273205211,9.0,0,카페,9.0,1041922444.4444444,286265.4323333333,0.08156326471254632,0.28136486047352505,0,0.19561009974473997,0.08979518673907451,0.1541,낮음,특징 약함,10
