dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_time_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason,rank
4719056500,선주원남동,양식,9635014000,802917833.3333334,334125,280855,24768758.39875,1588396.90875,0.0,1382801.46125,13443417.88375,0.689551486706583,8.0,0,음식점,8.0,1204376750.0,1680427.23546875,0.08380571452806013,0.8828037048860702,0,0.3106968173910673,0.10389600667030527,0.3492,낮음,수요인구 높음,1
4719067000,인동동,양식,3297168000,274764000.0,159311,133131,28046775.34625,2057981.70375,0.0,1040444.9625,15118174.5975,0.6933772881404586,15.0,0,음식점,15.0,219811200.0,1007878.3065000001,0.02865771368426999,0.9964391480066913,0,0.32015553053891294,0.01843701262538938,0.3466,낮음,수요인구 높음,2
4719069000,양포동,양식,2873107000,239425583.33333334,128648,109595,28476847.085,2992029.115,0.0,1067942.81625,15170654.3575,0.6719082779324287,7.0,0,음식점,7.0,410443857.14285713,2167236.336785714,0.02496779815369091,1.0,0,0.2670766625851707,0.034983676391492025,0.3432,낮음,수요인구 높음,3
4719068000,진미동,양식,3582244000,298520333.3333333,85833,69302,20372115.392500002,5463045.98875,0.0,1197742.97125,10231828.56325,0.7815607945517341,2.0,0,음식점,2.0,1791122000.0,5115914.281625,0.031138268037995895,0.66489123284749,0,0.538175860640176,0.15482472220949176,0.2905,낮음,수요인구 높음,4
4719064500,상모사곡동,양식,1413748000,117812333.33333333,106839,91934,17120003.1825,1163679.91125,0.0,674895.17625,9250755.285875,0.6825511951628447,5.0,0,음식점,5.0,282749600.0,1850151.057175,0.012269362223977136,0.5983235363617841,0,0.29338965945097717,0.02389998291801899,0.2179,낮음,특징 약함,5
4719055100,도량동,양식,1834966000,152913833.33333334,105791,95414,15967336.22625,652945.6175,0.0,707293.4625,8722175.147499999,0.6223527955194966,1.0,0,음식점,1.0,1834966000.0,8722175.147499999,0.01593453973372092,0.5624583639723522,0,0.1445582566646126,0.15863032371048402,0.2142,낮음,특징 약함,6
4719025300,고아읍,양식,1883922000,156993500.0,106708,90997,10091316.01875,534200.90125,0.0,1042722.07875,5547655.83825,0.6391160414162669,0.0,0,음식점,0.5,3767844000.0,11095311.6765,0.016360524449870316,0.3470611630297437,0,0.1860028368669166,0.32640159042964656,0.179,낮음,특징 약함,7
4719051000,송정동,양식,1870450000,155870833.33333334,107477,92268,13646748.815,1640398.53,0.0,791343.62,7256766.5045,0.662156873719523,6.0,0,음식점,6.0,311741666.6666667,1209461.0840833334,0.01624329947037925,0.4630275874703566,0,0.24296779629068302,0.02641645615092509,0.1745,낮음,특징 약함,8
4719066000,임오동,양식,1008308000,84025666.66666667,38210,34460,8854230.1425,795952.6975,0.0,748559.4475,4785491.98375,0.7623607495193836,2.0,0,음식점,2.0,504154000.0,2392745.991875,0.008741475073972816,0.29534688917399093,0,0.49070666457091044,0.04311759346829487,0.1481,낮음,특징 약함,9
4719053500,원평동,양식,1692169000,141014083.33333334,136703,115614,9524557.565,1306319.32875,0.0,1303809.5474999999,5107623.75,0.6724361051522031,8.0,0,음식점,8.0,211521125.0,638452.96875,0.014692008899666147,0.31720414503719174,0,0.26838163524247177,0.017717445025185505,0.1313,낮음,특징 약함,10
4719067000,인동동,일식,1567263000,130605250.0,24581,21406,28046775.34625,2057981.70375,0.0,1040444.9625,15118174.5975,0.7080388458561512,22.0,0,음식점,22.0,71239227.27272727,687189.7544318181,0.013605154439429269,0.9964391480066913,0,0.356404005827091,0.005541160914407406,0.3415,낮음,수요인구 높음,1
4719069000,양포동,일식,2356657000,196388083.33333334,40969,36495,28476847.085,2992029.115,0.0,1067942.81625,15170654.3575,0.661291325827927,4.0,0,음식점,4.0,589164250.0,3792663.589375,0.020473970907687235,1.0,0,0.24082786055072608,0.05049637129421698,0.3409,낮음,수요인구 높음,2
4719056500,선주원남동,일식,4509375000,375781250.0,93897,80700,24768758.39875,1588396.90875,0.0,1382801.46125,13443417.88375,0.6882889434195013,7.0,0,음식점,7.0,644196428.5714285,1920488.2691071427,0.03920558636196653,0.8828037048860702,0,0.30757537081427894,0.05527309197148876,0.3215,낮음,수요인구 높음,3
4719068000,진미동,일식,2434304000,202858666.66666666,31971,26155,20372115.392500002,5463045.98875,0.0,1197742.97125,10231828.56325,0.7187561260387351,0.0,0,음식점,0.5,4868608000.0,20463657.1265,0.021149606892139645,0.66489123284749,0,0.38290085380110056,0.4219464570165973,0.3106,낮음,수요인구 높음,4
4719064500,상모사곡동,일식,6473367000,539447250.0,108601,99327,17120003.1825,1163679.91125,0.0,674895.17625,9250755.285875,0.7315308556273078,15.0,0,음식점,15.0,431557800.0,616717.0190583334,0.056295025340634845,0.5983235363617841,0,0.4144844330349025,0.036816338845396965,0.2518,낮음,특징 약함,5
