dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190250,선산읍,제과점/아이스크림,2489704000,207475333.33333334,195280,179028,8384.367094450834,418.96562539367545,13.857307001266435,7128.790626166666,0.5899657671888201,1.0,0,카페,1.0,2489704000.0,7128.790626166666,0.025906630740776933,0.1759844179943005,0,0.08053396475614095,0.054541424615732526,0.0807,낮음,특징 약함
47190250,선산읍,커피전문점,2173594000,181132833.33333334,265159,228116,8384.367094450834,418.96562539367545,13.857307001266435,7128.790626166666,0.6299291491149712,19.0,0,카페,19.0,114399684.21052632,375.1995066403508,0.022612743404165404,0.1759844179943005,0,0.1701483661749007,0.002466546242087374,0.0804,낮음,특징 약함
47190253,고아읍,제과점/아이스크림,3008179000,250681583.33333334,256799,241611,16707.4189539794,805.5256774961989,23.998507071676062,14204.9058875,0.5540517897407364,5.0,0,카페,5.0,601635800.0,2840.9811775,0.031309174908470655,0.3758381229962636,0,0.0,0.01314844552561183,0.1288,낮음,특징 약함
47190253,고아읍,커피전문점,6130392000,510866000.0,571441,504384,16707.4189539794,805.5256774961989,23.998507071676062,14204.9058875,0.6054542195499292,32.0,0,카페,32.0,191574750.0,443.903308984375,0.06384284313441696,0.3758381229962636,0,0.11526546945733587,0.004158490359626335,0.1536,낮음,특징 약함
47190256,산동읍,제과점/아이스크림,2359397000,196616416.66666666,183612,163459,13259.428515835449,2017.5931412948385,25.826092456710146,11274.388154166665,0.5947905377415853,2.0,0,카페,2.0,1179698500.0,5637.194077083333,0.02454882308783385,0.29307027581590767,0,0.09135309227312369,0.025821577382754868,0.112,낮음,특징 약함
47190256,산동읍,커피전문점,4231198000,352599833.3333333,550539,456728,13259.428515835449,2017.5931412948385,25.826092456710146,11274.388154166665,0.6656167876958895,50.0,0,카페,50.0,84623960.0,225.4877630833333,0.04405311466531256,0.29307027581590767,0,0.25017478574539376,0.0018137594785374578,0.133,낮음,특징 약함
47190320,옥성면,커피전문점,35871000,2989250.0,2509,1960,1139.184201489721,72.7473479453942,9.830992538861711,969.7812201333332,0.7106341735153627,4.0,0,카페,4.0,8967750.0,242.4453050333333,0.0003375268058825112,0.00203292010621116,0,0.35112235047113,0.00015511392825077845,0.0359,낮음,특징 약함
47190330,도개면,커피전문점,271741000,22645083.333333332,41197,33307,1448.8634506766023,80.64856809837467,6.426759314087192,1232.497947,0.7181484234105021,6.0,0,카페,6.0,45290166.666666664,205.4163245,0.0027953079772676656,0.009452939324552552,0,0.3679724010426319,0.0009514268122800655,0.041,낮음,특징 약함
47190340,해평면,커피전문점,107773000,8981083.333333334,7007,5931,2595.2756093946905,121.7154950093274,9.268188222606208,2207.3744961666666,0.6437243949127411,5.0,0,카페,5.0,21554600.0,441.4748992333333,0.0010867504535907206,0.036986788488249614,0,0.2010830027098241,0.00043106117362066797,0.0318,낮음,특징 약함
47190360,장천면,제과점/아이스크림,15017000,1251416.6666666667,1933,1735,2187.7503711157137,223.3952366960102,9.494789701665034,1861.0120338333334,0.6544405688587404,0.0,0,카페,0.5,30034000.0,3722.0240676666667,0.0001202267314853178,0.02720432751716076,0,0.22511308893837761,0.0006169589218570767,0.0308,낮음,특징 약함
47190360,장천면,커피전문점,111644000,9303666.666666666,7640,5709,2187.7503711157137,223.3952366960102,9.494789701665034,1861.0120338333334,0.7000775270518496,4.0,0,카페,4.0,27911000.0,465.25300845833334,0.0011270865324241115,0.02720432751716076,0,0.3274499907202616,0.0005704154259132722,0.0415,낮음,특징 약함
47190510,송정동,제과점/아이스크림,2434921000,202910083.33333334,196858,174853,15973.64199702973,1867.941650401577,24.322831367190673,13581.244121666668,0.614298810679383,2.0,0,카페,2.0,1217460500.0,6790.622060833334,0.02533578821772613,0.3582237809502902,0,0.13509869431614124,0.026649450907874954,0.1364,낮음,특징 약함
47190510,송정동,커피전문점,2949518000,245793166.66666666,408507,348906,15973.64199702973,1867.941650401577,24.322831367190673,13581.244121666668,0.6407243426629002,29.0,0,카페,29.0,101707517.2413793,468.31876281609203,0.030697923366118405,0.3582237809502902,0,0.19435564697473381,0.0021882900848350976,0.141,낮음,특징 약함
47190535,원평동,제과점/아이스크림,1585062000,132088500.0,132978,118000,11101.505809188711,1927.9489770315604,24.743394344819183,9439.991446916667,0.6719001557553089,6.0,0,카페,6.0,264177000.0,1573.3319078194445,0.01648020061212891,0.24126063664982178,0,0.26426469106369616,0.0057501825538731925,0.1071,낮음,특징 약함
47190535,원평동,커피전문점,6620622000,551718500.0,736006,622553,11101.505809188711,1927.9489770315604,24.743394344819183,9439.991446916667,0.687654210561222,59.0,0,카페,59.0,112213932.20338982,159.99985503248587,0.06895107251351623,0.24126063664982178,0,0.29959178610182635,0.0024186270053100215,0.1337,낮음,특징 약함
47190551,도량동,제과점/아이스크림,1583269000,131939083.33333333,146635,136756,22153.229162813044,905.5644230013382,22.0096099347617,18833.546231666667,0.5654554002793187,1.0,0,카페,1.0,1583269000.0,18833.546231666667,0.01646151743224044,0.5065667626155349,0,0.025571602881761794,0.03466923726489766,0.1671,낮음,특징 약함
47190551,도량동,커피전문점,1127416000,93951333.33333333,189859,171341,22153.229162813044,905.5644230013382,22.0096099347617,18833.546231666667,0.5916770818833718,16.0,0,카페,16.0,70463500.0,1177.0966394791667,0.011711498691750186,0.5065667626155349,0,0.08437143882864982,0.001503313264419509,0.1659,낮음,특징 약함
47190555,지산동,제과점/아이스크림,443750000,36979166.666666664,35686,30361,2755.672309139092,247.9924404119768,13.856781395012982,2344.399979916667,0.6748840328683469,0.0,0,카페,0.5,887500000.0,4688.799959833334,0.004587653258603948,0.04085685696448918,0,0.27095577546406446,0.01941557658221989,0.0443,낮음,특징 약함
47190555,지산동,커피전문점,493339000,41111583.333333336,38208,32528,2755.672309139092,247.9924404119768,13.856781395012982,2344.399979916667,0.6779752648228824,0.0,0,카페,0.5,986678000.0,4688.799959833334,0.005104373954359315,0.04085685696448918,0,0.2778875937412101,0.021589901047935692,0.0456,낮음,특징 약함
47190565,선주원남동,제과점/아이스크림,4865010000,405417500.0,383641,345203,35957.815165601154,2165.2975476968372,26.75088420022828,30568.155523333335,0.6140085784275024,6.0,0,카페,6.0,810835000.0,5094.692587222223,0.050657478084984275,0.8379922774746789,0,0.1344478737831655,0.017734814869298662,0.2903,낮음,수요인구 높음
47190565,선주원남동,커피전문점,9009307000,750775583.3333334,843775,716733,35957.815165601154,2165.2975476968372,26.75088420022828,30568.155523333335,0.6664688846346679,58.0,0,카페,58.0,155332879.31034482,527.0371641954023,0.09384132993230687,0.8379922774746789,0,0.2520855388758593,0.003363943321736625,0.3193,낮음,수요인구 높음
47190582,형곡1동,제과점/아이스크림,2165218000,180434833.33333334,187509,167353,10833.901791957003,899.6590264818775,20.32753853462973,9211.865653916666,0.6045328426773682,3.0,0,카페,3.0,721739333.3333334,3070.621884638889,0.02252546492410638,0.23481758375232412,0,0.11319936211266163,0.015781529989359635,0.0943,낮음,특징 약함
47190582,형곡1동,커피전문점,2081445000,173453750.0,277003,241850,10833.901791957003,899.6590264818775,20.32753853462973,9211.865653916666,0.6524781507961548,26.0,0,카페,26.0,80055576.92307693,354.302525150641,0.021652544662646895,0.23481758375232412,0,0.2207125374450895,0.0017136047356215304,0.1025,낮음,특징 약함
